日期,Close,Open,High,Low,Volume,涨跌幅,涨跌情况（1为涨、0为跌）
2022/9/26,162.11,158,163.99,157.77,21.04,1.87%,1
2022/9/27,170.83,163.93,171.4,161.99,35.44,5.38%,1
2022/9/28,169.6,170.55,172.54,169.5,24.43,-0.72%,0
2022/9/29,168.51,172.49,172.52,167.55,17.56,-0.64%,0
2022/9/30,169.23,169.89,172,168.86,16.7,0.43%,1
2022/10/10,158.9,169.5,170.1,158.69,25.65,-6.10%,0
2022/10/11,158.59,158.91,160.01,154.9,16.39,-0.20%,0
2022/10/12,156.6,158.3,158.3,152,24.24,-1.25%,0
2022/10/13,153.57,154.99,155.68,152.51,19.14,-1.93%,0
2022/10/14,159.12,154.58,160.3,154.57,22.87,3.61%,1
2022/10/17,157.65,157.68,158.5,155.29,14.67,-0.92%,0
2022/10/18,158.7,158.68,160.98,158.02,13.97,0.67%,1
2022/10/19,154.5,158.51,158.51,154,17.39,-2.65%,0
2022/10/20,154.15,152.5,156.8,152,16.12,-0.23%,0
2022/10/21,152.15,154,154.13,151.5,16.32,-1.30%,0
2022/10/24,143.23,150.01,150.41,142.25,34.4,-5.86%,0
2022/10/25,142.12,140.75,145.27,140.51,20.96,-0.77%,0
2022/10/26,143.4,142.9,145.9,142,17.96,0.90%,1
2022/10/27,137.1,144.98,145.07,136.58,36.97,-4.39%,0
2022/10/28,137.5,137.56,139.97,136.17,25.59,0.29%,1
2022/10/31,133.5,135.2,136.4,132.33,22.59,-2.91%,0
2022/11/1,142.58,135.55,142.58,133.41,39.16,6.80%,1
2022/11/2,143.62,142,146.38,140.06,31.87,0.73%,1
2022/11/3,140.92,141.01,141.5,139.71,19.28,-1.88%,0
2022/11/4,150,140.5,152,140.35,47.9,6.44%,1
2022/11/7,151.14,149,152.7,147.68,22.87,0.76%,1
2022/11/8,147.49,151.01,152.27,146.11,23.57,-2.41%,0
2022/11/9,145.4,147.2,149.05,145.08,15.12,-1.42%,0
2022/11/10,145.76,144.49,146.56,143.71,17.67,0.25%,1
2022/11/11,150.02,151.49,151.5,146.54,36.85,2.92%,1
2022/11/14,150.3,151,155.41,149.9,28.2,0.19%,1
2022/11/15,154.15,150.3,155,148.42,27.66,2.56%,1
2022/11/16,154.21,154.15,156.5,153.08,18.26,0.04%,1
2022/11/17,152.6,153.5,155.79,151,16.56,-1.04%,0
2022/11/18,153.61,153,155.3,152.71,14.59,0.66%,1
2022/11/21,148.93,150.5,150.97,148,21.76,-3.05%,0
2022/11/22,150.23,148.92,152.9,148.81,14.38,0.87%,1
2022/11/23,149.77,150.23,151.5,148.9,11.35,-0.31%,0
2022/11/24,147.81,151,151.49,147,15.09,-1.31%,0
2022/11/25,147.38,147.93,148.93,146.4,10.68,-0.29%,0
2022/11/28,147.65,144.83,148.01,142.05,19.01,0.18%,1
2022/11/29,155.05,149.92,155.15,149.9,41.04,5.01%,1
2022/11/30,156.86,154.8,159.97,154,25.23,1.17%,1
2022/12/1,164.59,165,169.99,163.86,44.09,4.93%,1
2022/12/2,163.06,164.8,166.88,162.26,21.05,-0.93%,0
2022/12/5,168.51,168.88,169.98,165.68,29.8,3.34%,1
2022/12/6,175.4,167.97,178.22,167.1,43.37,4.09%,1
2022/12/7,173.68,175.41,177.8,173.01,31.13,-0.98%,0
2022/12/8,174.76,173,175.55,172.01,15.64,0.62%,1
2022/12/9,183.27,174.63,183.47,174.12,41.96,4.87%,1
2022/12/12,178.35,182,183.38,177.91,29.91,-2.68%,0
2022/12/13,179.47,178,180.9,176.02,19.28,0.63%,1
2022/12/14,184.08,179.45,185.27,178.36,28.7,2.57%,1
2022/12/15,181.96,184.2,185.8,180.77,19.93,-1.15%,0
2022/12/16,182.52,180.22,183.08,178.66,18.64,0.31%,1
2022/12/19,179.95,183.5,184.71,179,19.42,-1.41%,0
