日期,Close,Open,High,Low,Volue,涨跌幅,涨跌情况（1为涨、0为跌）
2022/9/25,169.23,158,172.54,157.77,115.18,6.35%,1
2022/10/9,159.12,169.5,170.1,152,108.29,-5.97%,0
2022/10/16,152.15,157.68,160.98,151.5,78.47,-4.38%,0
2022/10/23,137.5,150.01,150.41,136.17,135.88,-9.63%,0
2022/10/30,150,135.2,152,132.33,160.79,9.09%,1
2022/11/6,150.02,149,152.7,143.71,116.09,0.01%,1
2022/11/13,153.61,151,156.5,148.42,105.26,2.39%,1
2022/11/20,147.38,150.5,152.9,146.4,73.25,-4.06%,0
2022/11/27,163.06,144.83,169.99,142.05,150.42,10.64%,1
2022/12/4,183.27,168.88,183.47,165.68,161.9,12.39%,1
2022/12/11,182.52,182,185.8,176.02,116.46,-0.41%,0
2022/12/18,180.29,183.5,184.71,169.88,113.45,-1.22%,0
2022/12/25,180.69,180.29,182.5,176.74,78.82,0.22%,1
2023/1/1,190.46,181,191.11,176.3,94.71,5.41%,1
2023/1/8,198.58,192.45,199.41,190.16,103.16,4.26%,1
2023/1/15,208.72,200,212,200,130.57,5.11%,1
2023/1/29,210,218.59,219.89,203.76,121.82,0.61%,1
2023/2/5,204.7,199.53,207.74,197.28,104.65,-2.52%,0
2023/2/12,208.15,203,214.9,202.99,104.11,1.69%,1
2023/2/19,201.1,208.2,213.8,199.82,82.18,-3.39%,0
2023/2/26,205.76,199.06,209.46,198.84,60.96,2.32%,1
2023/3/5,195.24,205.01,206.5,193.9,61.83,-5.11%,0
2023/3/12,188.5,195,200.28,188,63.58,-3.45%,0
2023/3/19,193.02,190,196.08,185,68.64,2.40%,1
2023/3/26,197,192.81,202,189,66.66,2.06%,1
2023/4/2,189.06,196.98,197,187.54,54.03,-4.03%,0
2023/4/9,175.59,185,185.02,175.03,115.92,-7.12%,0
2023/4/16,172,176.79,180.17,171.8,72.47,-2.04%,0
2023/4/23,169,172.1,172.9,165.65,80.89,-1.74%,0
2023/4/30,173.71,172.5,174.1,167.45,51.76,2.79%,1
2023/5/7,169.37,174.5,177.5,169.36,77.19,-2.50%,0
2023/5/14,170.8,168.25,172.49,166.75,52.47,0.84%,1
2023/5/21,170.1,170.89,179.06,167.45,83.95,-0.41%,0
2023/5/28,167.9,170.94,171.85,160.02,88.79,-1.29%,0
