日期,Close,Open,High,Low,Volue,涨跌幅,涨跌情况（1为涨、0为跌）
2022/10/1,133.5,169.5,170.1,132.33,345.23,-21.11%,0
2022/11/1,156.86,135.55,159.97,133.41,518.08,17.50%,1
2022/12/1,180.69,165,185.8,162.26,535.77,15.19%,1
2023/1/1,209,181,219.89,176.3,386.34,15.67%,1
2023/2/1,204.42,208.5,214.9,197.28,383.64,-2.19%,0
2023/3/1,197,204.17,209.46,185,292.9,-3.63%,0
2023/4/1,169,196.98,197,165.65,323.31,-14.21%,0
2023/5/1,161.18,172.5,179.06,160.02,318.05,-4.63%,0
2023/6/1,163.57,162.49,185.6,161.2,336.01,1.48%,1
2023/7/1,181,163.27,188.57,162.85,349.98,10.66%,1
2023/8/1,155.91,181.69,184.15,155.33,419.27,-13.86%,0
2023/9/1,156.1,157,168.23,155.68,306.61,0.12%,1
2023/10/1,156,156.09,158.36,141.7,264.96,-0.06%,0
2023/11/1,149.15,166,167.28,146.9,289.48,-4.39%,0
2023/12/1,140.31,149,149,131.48,354.63,-5.93%,0
2024/1/1,126.3,140.3,140.3,123.19,395.03,-9.99%,0
2024/2/1,142.25,125.74,143.38,122.56,351.82,12.63%,1
2024/3/1,153.51,142.05,158.97,136.66,389.6,7.92%,1
2024/4/1,150.43,154.5,158.56,140.06,322.77,-2.01%,0
2024/5/1,146.7,153.44,159.8,145.91,263.61,-2.48%,0
2024/6/1,128.04,146.89,148.1,125.6,325.76,-12.72%,0
2024/7/1,126.86,128.2,133.95,121.48,398.72,-0.92%,0
2024/8/1,123.03,126.87,130,112.92,352.82,-3.02%,0
2024/9/1,147.74,122,147.74,106.35,464.23,20.08%,1
