量表,变量,KS统计量,KS_p值,游程统计量,游程p值
AI能力影响因素,14、个体认知—1.我能够利用AI技术解决在学习中出现的问题,0.33659905317504024,4.614983105478123e-35,-5.0899484918227715,3.581607893881298e-07
AI能力影响因素,14、2.我想要通过AI技术达到学习目标,0.3452203246967852,6.56028172584452e-37,-5.0899484918227715,3.581607893881298e-07
AI能力影响因素,14、3.我对AI学习有较为乐观积极的态度,0.2886339043173219,1.0108363571490361e-25,-5.0899484918227715,3.581607893881298e-07
AI能力影响因素,14、4.AI能力的提升会使我更努力进行AI学习,0.304812170196644,1.0699365252909035e-28,-5.0899484918227715,3.581607893881298e-07
AI能力影响因素,14、5.我认为我具备一定进行AI学习的能力并为之努力,0.26437563703340383,1.3774473275106134e-21,-5.0899484918227715,3.581607893881298e-07
AI能力影响因素,15、学校环境—6.学校教师鼓励并引导我进行AI学习,0.3320594349840346,4.129844069778143e-34,-5.0899484918227715,3.581607893881298e-07
AI能力影响因素,15、7.学校能够为我提供AI学习资源,0.23812392496700746,1.510812405384408e-17,-5.0899484918227715,3.581607893881298e-07
AI能力影响因素,15、8.我能够与同学对于AI知识共同进行讨论、学习,0.2946361482069681,8.343527824475622e-27,-5.0899484918227715,3.581607893881298e-07
AI能力影响因素,15、9.我感觉学校整体上有人工智能学习的氛围,0.2603392860402673,6.1575092602375255e-21,-5.0899484918227715,3.581607893881298e-07
AI能力影响因素,16、技术接受—10.使用AI技术可以提升我的学习效果与效率,0.34238362286916924,2.6946336756732037e-36,-5.0899484918227715,3.581607893881298e-07
AI能力影响因素,16、11.使用AI技术能够让我有机会学习更多的知识,0.28768325530091743,1.4929678494117445e-25,-5.0899484918227715,3.581607893881298e-07
AI能力影响因素,16、12.AI技术学习对我来说很容易,0.21810170666542705,9.174299465484818e-15,-5.0899484918227715,3.581607893881298e-07
AI能力影响因素,16、13.使用AI技术对我来说很容易,0.20143666673260996,1.2169467811965462e-12,-5.0899484918227715,3.581607893881298e-07
AI能力影响因素,16、14.我在AI学习中学习内容对我有较高的吸引力,0.2743546044544533,3.0578635551187705e-23,-5.0899484918227715,3.581607893881298e-07
AI能力影响因素,17、任务目标—15.我认为进行AI学习能够促进我的科研发展,0.318493099282638,2.3712869970055023e-31,-5.0899484918227715,3.581607893881298e-07
AI能力影响因素,17、16.我认为AI学习有助于帮助我达到成绩与科研要求,0.32664356206847933,5.4031876845201265e-33,-5.0899484918227715,3.581607893881298e-07
AI能力影响因素,17、17.我认为使用AI技术可以提高学习效率,0.2897531114669396,6.375390991537242e-26,-5.0899484918227715,3.581607893881298e-07
AI能力影响因素,17、18.我认为使用AI技术可以更容易达到学习或科研目标,0.3248032004601932,1.2808328949210195e-32,-5.0899484918227715,3.581607893881298e-07
