Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10
-0.4653,-4.0655,0.0000,0.0000,-15.1350,0.0000,-1.1375,0.0000,4.2942,-0.6362,7.2590,-0.1907,0.0000,0.0000,0.0000
-0.7818,-2.6806,0.0000,0.0000,5.1316,0.0000,-2.6559,0.0000,-0.0355,-0.2101,1.4915,-0.0641,0.0000,0.0000,0.0000
-0.9824,-1.2000,0.0000,0.0000,-31.2862,0.0000,13.5863,0.0000,4.2898,5.7059,-1.5957,-0.1907,0.0000,0.0000,0.0000
-0.4653,-1.5357,0.0000,0.0000,-21.3759,0.0000,-1.1375,0.0000,3.6421,-2.0605,-3.2591,-0.1907,0.0000,0.0000,0.0000
-0.4653,-1.7439,0.0000,0.0000,-45.4611,0.0000,-1.0738,0.0000,-39.5354,-0.3549,2.8147,-3.0072,0.0000,0.0000,0.0000
-0.7818,-1.9809,0.0000,0.0000,4.1003,0.0000,-2.6559,0.0000,-0.0050,-0.2101,1.7927,-0.0641,0.0000,0.0000,0.0000
-0.7818,-1.9809,0.0000,0.0000,4.1003,0.0000,-2.6559,0.0000,-0.0050,-0.2101,1.7927,-0.0641,0.0000,0.0000,0.0000
-0.7818,-1.9809,0.0000,0.0000,4.1003,0.0000,-2.6559,0.0000,-0.0050,-0.2101,1.7927,-0.0641,0.0000,0.0000,0.0000
-0.4653,-1.7439,0.0000,0.0000,-45.4611,0.0000,-1.0738,0.0000,-39.5354,-0.3549,2.8147,-3.0072,0.0000,0.0000,0.0000
-0.7818,-2.1396,0.0000,0.0000,7.1124,0.0000,-2.6559,0.0000,-0.1045,-0.3664,-0.8049,-0.0641,0.0000,0.0000,0.0000
-3.6962,7.2614,0.0000,0.0000,4.7009,0.0000,-2.2956,0.0000,0.3175,0.5817,1.3860,0.4487,0.0000,0.0000,0.0000
