Residual,Absolute_Error
21.9516,21.9516
17.8948,17.8948
7.8758,7.8758
-12.3513,12.3513
-16.5868,16.5868
31.7260,31.7260
22.2306,22.2306
-1.1828,1.1828
-16.5868,16.5868
-4.8255,4.8255
-8.0567,8.0567
-3.0818,3.0818
-14.3390,14.3390
8.1344,8.1344
8.1344,8.1344
-4.3209,4.3209
-3.2166,3.2166
13.3199,13.3199
6.0059,6.0059
7.8758,7.8758
-27.9393,27.9393
-2.3209,2.3209
-1.1828,1.1828
-0.3527,0.3527
-41.3054,41.3054
10.1882,10.1882
-19.8001,19.8001
-0.4010,0.4010
-4.3209,4.3209
-11.6635,11.6635
5.2814,5.2814
1.8222,1.8222
8.1344,8.1344
2.6198,2.6198
6.0059,6.0059
-1.5410,1.5410
-1.1828,1.1828
1.4930,1.4930
-2.6786,2.6786
-11.3209,11.3209
-43.1800,43.1800
7.8125,7.8125
27.3306,27.3306
-1.1828,1.1828
7.3167,7.3167
1.5028,1.5028
-3.8054,3.8054
1.4769,1.4769
13.9789,13.9789
16.6156,16.6156
27.1033,27.1033
7.8125,7.8125
-10.5195,10.5195
-9.1891,9.1891
6.8096,6.8096
-1.2302,1.2302
-1.3209,1.3209
7.3167,7.3167
19.0249,19.0249
-14.7104,14.7104
4.4382,4.4382
-9.7030,9.7030
7.8758,7.8758
-8.0567,8.0567
28.9576,28.9576
9.7921,9.7921
11.8876,11.8876
8.1344,8.1344
8.8349,8.8349
6.0059,6.0059
-7.1845,7.1845
34.1264,34.1264
21.0344,21.0344
7.8758,7.8758
-12.9394,12.9394
-5.9537,5.9537
-18.3532,18.3532
8.1344,8.1344
