Residual,Absolute_Error
21.9524,21.9524
17.9835,17.9835
7.8359,7.8359
-12.3176,12.3176
-16.4682,16.4682
31.8445,31.8445
22.1855,22.1855
-1.1658,1.1658
-16.4682,16.4682
-4.8888,4.8888
-7.9837,7.9837
-3.1932,3.1932
-14.5269,14.5269
8.0785,8.0785
8.0785,8.0785
-4.3516,4.3516
-3.0587,3.0587
13.2475,13.2475
6.0399,6.0399
7.8359,7.8359
-27.9183,27.9183
-2.3516,2.3516
-1.1658,1.1658
-0.3322,0.3322
-41.3412,41.3412
10.0548,10.0548
-19.7001,19.7001
-0.2597,0.2597
-4.3516,4.3516
-11.6994,11.6994
5.1738,5.1738
1.9239,1.9239
8.0785,8.0785
2.7731,2.7731
6.0399,6.0399
-1.6258,1.6258
-1.1658,1.1658
1.5471,1.5471
-2.6279,2.6279
-11.3516,11.3516
-43.4537,43.4537
7.8157,7.8157
27.3657,27.3657
-1.1658,1.1658
7.2576,7.2576
1.4107,1.4107
-3.8678,3.8678
1.5564,1.5564
13.9235,13.9235
16.5963,16.5963
27.2346,27.2346
7.8157,7.8157
-10.4577,10.4577
-9.1158,9.1158
6.7659,6.7659
-1.3356,1.3356
-1.3516,1.3516
7.2576,7.2576
18.8565,18.8565
-14.7535,14.7535
4.5195,4.5195
-9.6338,9.6338
7.8359,7.8359
-7.9837,7.9837
29.0749,29.0749
9.8843,9.8843
11.9036,11.9036
8.0785,8.0785
8.8597,8.8597
6.0399,6.0399
-7.1560,7.1560
34.1080,34.1080
21.0697,21.0697
7.8359,7.8359
-12.9892,12.9892
-5.9950,5.9950
-18.4660,18.4660
8.0785,8.0785
