Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10
-0.9189,-3.9282,0.2120,0.9485,-8.6621,-2.1925,-1.0815,-0.4849,0.1390,1.3117,-4.8193,1.6308,-3.2345,-1.5074,1.4270
-0.9189,-3.9282,-2.5438,-2.5744,2.4140,2.5580,0.2163,0.0796,0.8618,-0.9619,-0.4483,-1.6308,-3.2345,-1.5074,1.4270
-0.9189,-9.3037,0.2120,-2.5744,-8.6621,-2.1925,2.8119,1.2086,0.8618,-3.2355,8.2937,-1.6308,-0.1198,2.2252,-1.0193
-0.9189,-9.3037,-2.5438,-6.0973,-8.6621,-2.1925,1.5141,0.6441,0.1390,-0.9619,3.9227,-1.6308,2.9949,2.2252,-1.0193
-3.7298,-9.3037,-8.0552,-6.0973,-30.8143,2.5580,-2.3793,-0.4849,-2.0295,3.5853,-9.1903,1.6308,-6.3491,-1.5074,1.4270
0.4865,1.4472,0.2120,0.9485,2.4140,0.1827,1.5141,-0.4849,0.1390,-0.9619,-4.8193,1.6308,-3.2345,-1.5074,-1.0193
0.4865,1.4472,0.2120,0.9485,2.4140,0.1827,-1.0815,-0.4849,0.1390,1.3117,-4.8193,1.6308,-0.1198,0.3589,-1.0193
0.4865,1.4472,2.9677,0.9485,2.4140,0.1827,-1.0815,0.6441,0.1390,-0.9619,-0.4483,-0.0000,-0.1198,0.3589,-1.0193
-3.7298,-9.3037,-8.0552,-6.0973,-30.8143,2.5580,-2.3793,-0.4849,-2.0295,3.5853,-9.1903,1.6308,-6.3491,-1.5074,1.4270
0.4865,1.4472,-2.5438,0.9485,2.4140,0.1827,0.2163,-0.4849,0.1390,-0.9619,3.9227,-0.0000,2.9949,-1.5074,1.4270
0.4865,6.8227,2.9677,4.4714,13.4901,2.5580,-2.3793,-1.0493,0.8618,-3.2355,-9.1903,3.2615,-0.1198,-3.3737,0.2039
1.8919,6.8227,2.9677,4.4714,2.4140,2.5580,0.2163,0.0796,0.1390,-3.2355,8.2937,-3.2615,6.1095,4.0915,1.4270
0.4865,6.8227,0.2120,4.4714,2.4140,-2.1925,2.8119,0.6441,0.8618,-0.9619,8.2937,-1.6308,-0.1198,2.2252,-1.0193
1.8919,6.8227,2.9677,4.4714,13.4901,-4.5678,2.8119,1.2086,0.8618,-3.2355,8.2937,-3.2615,6.1095,4.0915,-2.2424
1.8919,6.8227,2.9677,4.4714,13.4901,-4.5678,2.8119,1.2086,0.8618,-3.2355,8.2937,-3.2615,6.1095,4.0915,-2.2424
0.4865,1.4472,0.2120,0.9485,2.4140,-2.1925,1.5141,0.6441,0.1390,-0.9619,3.9227,-1.6308,2.9949,2.2252,-1.0193
0.4865,1.4472,0.2120,0.9485,2.4140,-2.1925,0.2163,0.6441,0.1390,-0.9619,-0.4483,-1.6308,-0.1198,-1.5074,0.2039
