Residual,Absolute_Error
57.9781,57.9781
38.3917,38.3917
4.1886,4.1886
-1.2643,1.2643
-5.0967,5.0967
64.6036,64.6036
62.8373,62.8373
4.6037,4.6037
-5.0967,5.0967
26.4866,26.4866
-7.4177,7.4177
33.0222,33.0222
10.0365,10.0365
-5.7549,5.7549
-5.7549,5.7549
24.4974,24.4974
22.1239,22.1239
34.2601,34.2601
2.8842,2.8842
4.1886,4.1886
-43.6419,43.6419
26.4974,26.4974
4.6037,4.6037
45.4918,45.4918
-38.7725,38.7725
8.8361,8.8361
-30.2657,30.2657
3.5176,3.5176
24.4974,24.4974
-3.6210,3.6210
13.4927,13.4927
19.7075,19.7075
-5.7549,5.7549
34.9447,34.9447
2.8842,2.8842
-43.5627,43.5627
4.6037,4.6037
6.6229,6.6229
5.6949,5.6949
17.4974,17.4974
-72.1880,72.1880
-9.4549,9.4549
24.5389,24.5389
4.6037,4.6037
5.9101,5.9101
0.0713,0.0713
-9.7034,9.7034
-0.5967,0.5967
17.9994,17.9994
25.9060,25.9060
59.3203,59.3203
-9.4549,9.4549
9.5332,9.5332
-3.8302,3.8302
0.3768,0.3768
10.2061,10.2061
27.4974,27.4974
5.9101,5.9101
36.9662,36.9662
10.2792,10.2792
7.2319,7.2319
-1.5628,1.5628
4.1886,4.1886
-7.4177,7.4177
21.4591,21.4591
-5.0034,5.0034
43.1284,43.1284
-5.7549,5.7549
-12.8916,12.8916
2.8842,2.8842
-11.1752,11.1752
-29.2956,29.2956
51.2167,51.2167
4.1886,4.1886
-7.2270,7.2270
15.9317,15.9317
14.1595,14.1595
-5.7549,5.7549
