Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10
3.7700,-7.8533,-1.6457,-2.0653,-9.0166,-10.0578,1.8917,-8.1707,1.3560,-2.9874,-0.3616,-0.6510,-11.1731,0.0974,-3.8904
4.1179,-8.1456,-4.5865,0.1285,1.2331,-1.5376,0.8602,-6.5857,13.6045,-8.3762,2.0106,-5.6325,-10.5265,0.3938,-1.1292
7.0309,-14.3527,-1.8519,-5.0960,-6.4709,-0.5155,-5.9181,16.9039,11.6038,0.4041,-3.5426,-1.4913,-0.3679,-1.4609,1.1567
6.8585,-11.5743,-3.4517,-4.5581,-6.6131,-5.1273,-3.4222,2.2962,1.5109,-5.2610,-1.1162,-3.0457,11.2603,-2.9512,-1.3205
12.0347,-8.4779,6.9909,8.1245,-29.8377,1.6443,0.7698,-5.8948,-33.5380,6.7548,-2.4470,-0.1115,-28.3827,-1.3871,-1.9254
-4.2385,1.3960,-1.8693,-1.4722,1.5650,-6.0602,2.2602,-9.3034,1.4141,-7.5389,2.9175,0.9715,-7.1953,0.2931,-2.5227
-4.6734,0.5370,-2.3001,-2.6903,1.0842,-6.3777,1.8930,-8.9710,1.0008,-4.4245,0.5342,0.0000,-0.5470,-3.9315,-3.7507
-5.0057,1.3195,7.9798,-0.4587,1.1240,-4.9562,3.5759,2.2664,3.0913,-4.1805,3.2570,-0.9790,0.8870,-2.2426,0.9384
12.4557,-8.7167,6.6646,8.1595,-29.6138,1.9750,0.6975,-5.9735,-33.4836,6.9316,-2.6379,-0.5238,-28.5726,-1.2086,-1.8365
-4.1413,0.8110,-4.0244,-1.5646,1.6498,-5.9495,0.8564,-7.5403,1.3752,-8.5122,1.9464,-2.2459,10.0234,0.7082,0.3415
-2.9821,14.7767,2.2852,-0.1254,16.7615,-3.1089,-1.7777,-9.1272,13.1258,-10.5546,-2.1667,2.8128,-0.7741,5.5766,-3.0840
-11.8605,13.2220,6.4936,4.1196,0.8414,-3.2026,0.0000,-5.5296,1.6339,-7.2959,0.8848,-4.2385,19.2916,-7.1736,-1.9881
-5.4207,12.4261,-1.8789,6.7045,0.6094,-1.3423,-5.2108,3.6508,10.1541,-3.8755,-3.3153,-2.7080,-0.4333,-4.4300,0.2536
-16.9310,11.1906,7.5304,7.7967,6.2303,7.2731,-4.3844,17.5031,8.7167,2.9748,-3.4020,-0.6585,11.4144,-0.5409,5.2619
-16.9680,11.1542,7.4075,7.8179,6.1636,7.3982,-4.3842,17.5561,8.6629,2.8853,-3.3515,-0.6230,11.5123,-0.4247,5.1687
-5.6479,0.5396,-2.2946,-0.2542,0.6530,-2.9199,-2.1764,2.8238,1.8573,-4.4618,-0.3465,-2.6048,7.6077,-3.6099,-0.4425
-5.5365,0.7084,-2.7918,-0.9528,1.0192,-4.6551,0.9433,-0.4166,2.7549,-5.4407,2.3866,-2.6068,0.0000,-1.6207,-2.6952
-5.1721,16.9248,5.3745,3.6118,2.1017,-4.6405,0.6455,-11.3093,1.4135,-6.1791,1.3249,1.8760,-6.2512,0.8382,-4.5984
