Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10
-0.9487,-3.9090,0.2136,0.9507,-8.6153,-2.1776,-1.0866,-0.4728,0.1368,1.2957,-4.7653,1.5895,-3.2250,-1.4892,1.4208
-0.9487,-3.9090,-2.5632,-2.5805,2.4010,2.5406,0.2173,0.0776,0.8479,-0.9502,-0.4433,-1.5895,-3.2250,-1.4892,1.4208
-0.9487,-9.2581,0.2136,-2.5805,-8.6153,-2.1776,2.8250,1.1785,0.8479,-3.1961,8.2008,-1.5895,-0.1194,2.1983,-1.0149
-0.9487,-9.2581,-2.5632,-6.1118,-8.6153,-2.1776,1.5212,0.6280,0.1368,-0.9502,3.8787,-1.5895,2.9861,2.1983,-1.0149
-3.8504,-9.2581,-8.1167,-6.1118,-30.6480,2.5406,-2.3904,-0.4728,-1.9966,3.5416,-9.0873,1.5895,-6.3305,-1.4892,1.4208
0.5022,1.4402,0.2136,0.9507,2.4010,0.1815,1.5212,-0.4728,0.1368,-0.9502,-4.7653,1.5895,-3.2250,-1.4892,-1.0149
0.5022,1.4402,0.2136,0.9507,2.4010,0.1815,-1.0866,-0.4728,0.1368,1.2957,-4.7653,1.5895,-0.1194,0.3546,-1.0149
0.5022,1.4402,2.9904,0.9507,2.4010,0.1815,-1.0866,0.6280,0.1368,-0.9502,-0.4433,-0.0000,-0.1194,0.3546,-1.0149
-3.8504,-9.2581,-8.1167,-6.1118,-30.6480,2.5406,-2.3904,-0.4728,-1.9966,3.5416,-9.0873,1.5895,-6.3305,-1.4892,1.4208
0.5022,1.4402,-2.5632,0.9507,2.4010,0.1815,0.2173,-0.4728,0.1368,-0.9502,3.8787,-0.0000,2.9861,-1.4892,1.4208
0.5022,6.7893,2.9904,4.4820,13.4173,2.5406,-2.3904,-1.0232,0.8479,-3.1961,-9.0873,3.1789,-0.1194,-3.3329,0.2030
1.9531,6.7893,2.9904,4.4820,2.4010,2.5406,0.2173,0.0776,0.1368,-3.1961,8.2008,-3.1789,6.0916,4.0420,1.4208
0.5022,6.7893,0.2136,4.4820,2.4010,-2.1776,2.8250,0.6280,0.8479,-0.9502,8.2008,-1.5895,-0.1194,2.1983,-1.0149
1.9531,6.7893,2.9904,4.4820,13.4173,-4.5368,2.8250,1.1785,0.8479,-3.1961,8.2008,-3.1789,6.0916,4.0420,-2.2328
1.9531,6.7893,2.9904,4.4820,13.4173,-4.5368,2.8250,1.1785,0.8479,-3.1961,8.2008,-3.1789,6.0916,4.0420,-2.2328
0.5022,1.4402,0.2136,0.9507,2.4010,-2.1776,1.5212,0.6280,0.1368,-0.9502,3.8787,-1.5895,2.9861,2.1983,-1.0149
0.5022,1.4402,0.2136,0.9507,2.4010,-2.1776,0.2173,0.6280,0.1368,-0.9502,-0.4433,-1.5895,-0.1194,-1.4892,0.2030
