Residual,Absolute_Error
1.3090,1.3090
6.7445,6.7445
0.0455,0.0455
-0.7297,0.7297
0.1145,0.1145
9.3195,9.3195
22.6709,22.6709
0.1521,0.1521
0.1145,0.1145
11.3448,11.3448
-0.1476,0.1476
6.9247,6.9247
-16.6355,16.6355
1.7598,1.7598
1.7598,1.7598
-0.3001,0.3001
-3.6124,3.6124
15.6158,15.6158
0.3640,0.3640
0.0455,0.0455
-35.7535,35.7535
1.6999,1.6999
0.1521,0.1521
10.5320,10.5320
-26.5470,26.5470
4.7470,4.7470
-29.5242,29.5242
-0.2585,0.2585
-0.3001,0.3001
-5.0262,5.0262
-2.4290,2.4290
5.1651,5.1651
1.7598,1.7598
-23.3040,23.3040
0.3640,0.3640
-6.3308,6.3308
0.1521,0.1521
-11.2584,11.2584
10.7387,10.7387
-7.3001,7.3001
-37.4079,37.4079
1.7799,1.7799
13.5083,13.5083
0.1521,0.1521
-0.1249,0.1249
0.0186,0.0186
-0.2040,0.2040
-1.3696,1.3696
5.7929,5.7929
19.3771,19.3771
21.5564,21.5564
1.7799,1.7799
-8.1671,8.1671
0.0646,0.0646
3.2312,3.2312
7.7160,7.7160
2.6999,2.6999
-0.1249,0.1249
15.5665,15.5665
-7.2844,7.2844
-5.0965,5.0965
-0.2747,0.2747
0.0455,0.0455
-0.1476,0.1476
13.2519,13.2519
12.0507,12.0507
3.9150,3.9150
1.7598,1.7598
-9.6338,9.6338
0.3640,0.3640
-0.3410,0.3410
-1.4172,1.4172
19.2978,19.2978
0.0455,0.0455
-6.9924,6.9924
-10.6137,10.6137
-5.3227,5.3227
1.7598,1.7598
