Residual,Absolute_Error
4.3529,4.3529
5.9879,5.9879
-1.9958,1.9958
-30.6471,30.6471
0.3044,0.3044
14.6239,14.6239
-4.7464,4.7464
-0.3331,0.3331
0.3044,0.3044
7.3529,7.3529
-20.7464,20.7464
35.1771,35.1771
23.0109,23.0109
19.2536,19.2536
19.2536,19.2536
10.3529,10.3529
6.2686,6.2686
8.2793,8.2793
8.3529,8.3529
-1.9958,1.9958
-4.7342,4.7342
12.3529,12.3529
-0.3331,0.3331
4.5410,4.5410
-27.3703,27.3703
-13.9672,13.9672
-4.2977,4.2977
-0.6471,0.6471
10.3529,10.3529
-15.8970,15.8970
-6.0761,6.0761
-23.2935,23.2935
19.2536,19.2536
-20.3301,20.3301
8.3529,8.3529
0.3537,0.3537
-0.3331,0.3331
-6.0610,6.0610
18.1005,18.1005
3.3529,3.3529
-20.9848,20.9848
0.4798,0.4798
24.3243,24.3243
-0.3331,0.3331
-4.6943,4.6943
-7.9648,7.9648
1.3529,1.3529
-23.7464,23.7464
8.5826,8.5826
12.2649,12.2649
17.4422,17.4422
0.4798,0.4798
-0.6471,0.6471
-0.6717,0.6717
11.0601,11.0601
15.0402,15.0402
13.3529,13.3529
-4.6943,4.6943
13.8177,13.8177
-3.3411,3.3411
-3.6471,3.6471
-1.3229,1.3229
-1.9958,1.9958
-20.7464,20.7464
12.2536,12.2536
-14.8465,14.8465
-5.6471,5.6471
19.2536,19.2536
-12.3074,12.3074
8.3529,8.3529
13.8103,13.8103
2.2658,2.2658
3.1418,3.1418
-1.9958,1.9958
-7.6471,7.6471
-5.6875,5.6875
-6.6471,6.6471
19.2536,19.2536
