Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9
-1.1803,-0.4973,-3.7392,-1.8103,-0.2230,-0.3377,2.4572,0.8571,0.6422
3.4197,0.7791,-3.7420,-1.8036,-0.0924,0.1099,2.0719,1.0343,-0.2432
-2.4772,-0.7880,-3.8354,2.5061,0.7872,-1.2400,2.6202,0.4492,-2.5047
-1.1803,-0.4973,-3.7392,-1.8103,-0.2230,-0.3377,2.4572,0.8571,0.6422
-0.1364,0.8612,-1.1328,-24.2236,-5.0122,-3.9828,-49.4077,-4.7099,-0.0385
2.7492,0.0982,3.0804,2.7961,-0.0705,0.1397,1.4975,3.6176,-0.0104
1.9901,0.8273,8.6559,5.6388,1.5498,2.3622,6.9483,-0.4735,0.7692
2.4840,0.1263,5.1322,-2.2125,-0.2642,0.2696,0.9320,-2.0328,0.4203
-0.1364,0.8612,-1.1328,-24.2236,-5.0122,-3.9828,-49.4077,-4.7099,-0.0385
-1.1803,-0.4973,-3.7392,-1.8103,-0.2230,-0.3377,2.4572,0.8571,0.6422
1.9901,0.8273,8.6559,5.6388,1.5498,2.3622,6.9483,-0.4735,0.7692
0.1826,0.0797,3.4309,2.0842,0.7725,-1.2752,-7.7384,1.1201,-2.3119
-2.0711,-0.5289,-4.2493,-2.0203,0.8169,0.1298,-5.1661,1.6893,-3.0895
1.9901,0.8273,8.6559,5.6388,1.5498,2.3622,6.9483,-0.4735,0.7692
1.9901,0.8273,8.6559,5.6388,1.5498,2.3622,6.9483,-0.4735,0.7692
-1.1803,-0.4973,-3.7392,-1.8103,-0.2230,-0.3377,2.4572,0.8571,0.6422
-1.3809,-0.5314,-6.2433,-1.8559,-0.3728,-0.3693,-0.5042,0.8687,0.6422
-0.7325,2.4150,8.5243,3.6706,-0.7496,-1.5812,4.5937,0.3671,-1.2649
-1.1803,-0.4973,-3.7392,-1.8103,-0.2230,-0.3377,2.4572,0.8571,0.6422
-2.4772,-0.7880,-3.8354,2.5061,0.7872,-1.2400,2.6202,0.4492,-2.5047
-0.3185,0.5878,-2.7094,-2.6747,-2.6981,-0.1947,-14.0887,-1.3427,-1.3052
-1.1803,-0.4973,-3.7392,-1.8103,-0.2230,-0.3377,2.4572,0.8571,0.6422
2.4840,0.1263,5.1322,-2.2125,-0.2642,0.2696,0.9320,-2.0328,0.4203
0.5167,0.7599,-3.4452,-0.3258,-0.7120,0.2452,-4.9668,-4.9521,-0.1393
2.2006,-0.6932,3.7713,4.4130,-0.0405,2.3776,0.9721,0.4497,1.4415
-1.2131,-0.4973,-3.5071,2.9114,-0.0584,-1.1950,2.7326,0.3461,0.9697
-0.4814,0.3538,-2.6595,-3.1475,-1.6695,-0.1613,-10.9420,-1.2388,-1.2345
-1.1803,-0.4973,-3.7392,-1.8103,-0.2230,-0.3377,2.4572,0.8571,0.6422
-1.1803,-0.4973,-3.7392,-1.8103,-0.2230,-0.3377,2.4572,0.8571,0.6422
-0.5508,-0.6701,-3.7224,-2.0855,-0.1569,-0.4152,2.6378,0.7263,0.6555
-0.4767,-0.0898,-3.3496,-0.2658,-0.4847,0.2078,-4.9117,0.6354,1.3330
3.8704,2.7846,-1.4586,4.3010,0.0873,-0.1328,3.4825,3.0180,0.8627
1.9901,0.8273,8.6559,5.6388,1.5498,2.3622,6.9483,-0.4735,0.7692
-0.2666,0.4570,8.0684,3.5196,1.7291,-1.8086,6.4006,0.3225,-1.5703
-1.1803,-0.4973,-3.7392,-1.8103,-0.2230,-0.3377,2.4572,0.8571,0.6422
-2.1506,-0.8856,-3.4850,3.0493,-0.0688,-0.2534,2.9441,1.0517,0.9663
2.4840,0.1263,5.1322,-2.2125,-0.2642,0.2696,0.9320,-2.0328,0.4203
-1.1705,0.1406,-3.4297,-0.3236,-1.5133,0.2622,-6.1788,0.5334,1.2624
-0.7303,-0.4970,-3.6637,-1.5458,-0.2346,-0.3077,2.1845,0.9782,0.2377
-1.1803,-0.4973,-3.7392,-1.8103,-0.2230,-0.3377,2.4572,0.8571,0.6422
0.9539,1.0690,-3.8874,-2.3220,-0.0556,-4.3726,2.9636,0.6634,0.4942
5.4297,1.0067,8.5726,5.5641,0.5600,2.2387,6.0132,-0.9715,0.6284
-2.4669,-0.6757,-4.0676,-1.8177,-0.1454,-0.4237,2.4572,0.9602,-2.6231
2.4840,0.1263,5.1322,-2.2125,-0.2642,0.2696,0.9320,-2.0328,0.4203
-0.2842,-0.8271,3.1927,4.2758,0.4714,2.1128,0.5602,0.0625,-0.3481
-0.5893,-0.3135,4.3842,5.6077,0.4714,1.9364,0.5872,0.3013,0.1010
-1.1803,-0.4973,-3.7392,-1.8103,-0.2230,-0.3377,2.4572,0.8571,0.6422
1.9901,0.8273,8.6559,5.6388,1.5498,2.3622,6.9483,-0.4735,0.7692
0.1888,0.3186,-2.7076,-0.5030,0.0720,-0.3298,-6.6788,0.2363,0.3427
-0.8975,0.3501,-3.7186,-1.9093,-0.2216,-0.3996,2.6720,0.7303,0.6510
1.1823,-0.5587,3.0583,2.6581,-0.0600,-0.5938,1.2035,-0.5094,-0.3008
5.4297,1.0067,8.5726,5.5641,0.5600,2.2387,6.0132,-0.9715,0.6284
-1.1803,-0.4973,-3.7392,-1.8103,-0.2230,-0.3377,2.4572,0.8571,0.6422
0.5143,-0.0649,-3.7467,-1.9657,-0.1504,-4.9965,2.2706,0.5423,-0.2096
-0.7808,-0.8817,-3.5826,-1.4122,-0.2450,0.5572,2.4048,1.4247,-0.0228
