Residual,Absolute_Error
4.7992,4.7992
1.2281,1.2281
-1.6769,1.6769
-30.2008,30.2008
-21.0894,21.0894
19.5043,19.5043
-6.0293,6.0293
-0.6527,0.6527
-21.0894,21.0894
7.7992,7.7992
-22.0293,22.0293
25.4024,25.4024
15.1409,15.1409
17.9707,17.9707
17.9707,17.9707
10.7992,10.7992
-2.0106,2.0106
7.2687,7.2687
8.7992,8.7992
-1.6769,1.6769
2.3730,2.3730
12.7992,12.7992
-0.6527,0.6527
1.5960,1.5960
-27.6169,27.6169
-14.3701,14.3701
-10.0382,10.0382
-0.2008,0.2008
10.7992,10.7992
-15.5754,15.5754
-23.2393,23.2393
-1.0051,1.0051
17.9707,17.9707
-29.1228,29.1228
8.7992,8.7992
-0.6803,0.6803
-0.6527,0.6527
-6.4040,6.4040
20.6624,20.6624
3.7992,3.7992
0.2282,0.2282
0.7329,0.7329
22.8411,22.8411
-0.6527,0.6527
-3.2189,3.2189
-3.6866,3.6866
1.7992,1.7992
-25.0293,25.0293
18.7553,18.7553
8.3532,8.3532
14.5043,14.5043
0.7329,0.7329
-0.2008,0.2008
1.6635,1.6635
7.0083,7.0083
18.5981,18.5981
13.7992,13.7992
-3.2189,3.2189
27.2968,27.2968
10.5931,10.5931
-3.2008,3.2008
-0.7538,0.7538
-1.6769,1.6769
-22.0293,22.0293
10.9707,10.9707
-21.1555,21.1555
-5.2008,5.2008
17.9707,17.9707
-9.1420,9.1420
8.7992,8.7992
14.8111,14.8111
9.3730,9.3730
9.5475,9.5475
-1.6769,1.6769
-7.2008,7.2008
-11.8549,11.8549
-6.2008,6.2008
17.9707,17.9707
