Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9
-0.8676,0.0106,-0.8817,-3.4340,1.0426,0.0580,0.2738,-0.0216,0.6080
3.6441,0.0106,-0.8817,-3.4340,1.0426,0.0580,0.2738,-0.0216,0.6080
-0.8676,0.0106,-0.8817,11.4466,-5.7341,0.0580,0.2738,-0.0216,-4.6615
-0.8676,0.0106,-0.8817,-3.4340,1.0426,0.0580,0.2738,-0.0216,0.6080
-9.8911,0.5631,-9.4787,-48.0759,14.5958,-4.4698,-31.7648,-1.7089,11.1470
3.6441,-0.2656,3.4167,11.4466,1.0426,0.0580,0.2738,-0.8653,0.6080
3.6441,-0.2656,3.4167,11.4466,-5.7341,2.3220,10.9534,0.8220,-4.6615
3.6441,-0.2656,3.4167,-3.4340,1.0426,0.0580,0.2738,0.8220,-4.6615
-9.8911,0.5631,-9.4787,-48.0759,14.5958,-4.4698,-31.7648,-1.7089,11.1470
-0.8676,0.0106,-0.8817,-3.4340,1.0426,0.0580,0.2738,-0.0216,0.6080
3.6441,-0.2656,3.4167,11.4466,-5.7341,2.3220,10.9534,0.8220,-4.6615
3.6441,-0.2656,3.4167,11.4466,-5.7341,-2.2059,-10.4057,-0.8653,5.8775
-0.8676,0.2869,-0.8817,-3.4340,-5.7341,2.3220,-10.4057,-0.0216,-4.6615
3.6441,-0.2656,3.4167,11.4466,-5.7341,2.3220,10.9534,0.8220,-4.6615
3.6441,-0.2656,3.4167,11.4466,-5.7341,2.3220,10.9534,0.8220,-4.6615
-0.8676,0.0106,-0.8817,-3.4340,1.0426,0.0580,0.2738,-0.0216,0.6080
-0.8676,0.0106,-0.8817,-3.4340,1.0426,-2.2059,10.9534,-0.0216,0.6080
-0.8676,-0.2656,3.4167,11.4466,1.0426,0.0580,10.9534,0.8220,-4.6615
-0.8676,0.0106,-0.8817,-3.4340,1.0426,0.0580,0.2738,-0.0216,0.6080
-0.8676,0.0106,-0.8817,11.4466,-5.7341,0.0580,0.2738,-0.0216,-4.6615
-5.3794,0.2869,-5.1802,-18.3146,7.8192,-2.2059,-10.4057,-0.8653,5.8775
-0.8676,0.0106,-0.8817,-3.4340,1.0426,0.0580,0.2738,-0.0216,0.6080
3.6441,-0.2656,3.4167,-3.4340,1.0426,0.0580,0.2738,0.8220,-4.6615
-5.3794,0.2869,-0.8817,-3.4340,7.8192,0.0580,-10.4057,-1.7089,5.8775
3.6441,-0.2656,3.4167,11.4466,1.0426,2.3220,0.2738,-0.0216,-4.6615
-0.8676,0.0106,-0.8817,11.4466,1.0426,0.0580,0.2738,-0.0216,0.6080
-0.8676,0.2869,-5.1802,-18.3146,7.8192,-2.2059,-10.4057,-0.8653,5.8775
-0.8676,0.0106,-0.8817,-3.4340,1.0426,0.0580,0.2738,-0.0216,0.6080
-0.8676,0.0106,-0.8817,-3.4340,1.0426,0.0580,0.2738,-0.0216,0.6080
-5.3794,0.0106,-0.8817,-3.4340,1.0426,0.0580,0.2738,-0.0216,0.6080
-0.8676,0.2869,-0.8817,-3.4340,7.8192,-2.2059,-10.4057,-0.8653,5.8775
3.6441,0.2869,-5.1802,-18.3146,14.5958,-2.2059,0.2738,-0.8653,0.6080
