Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9
-2.0995,0.1745,-0.2113,-3.3684,0.6833,-0.2942,3.0143,1.1266,-1.5205
2.5054,-0.4168,-1.1927,-3.0771,0.5695,-0.5707,2.6755,0.3223,-1.9370
-2.4839,-0.4354,-1.3137,13.6038,-10.1753,-1.2109,2.6367,0.0893,-3.8945
-2.0995,0.1745,-0.2113,-3.3684,0.6833,-0.2942,3.0143,1.1266,-1.5205
-3.0489,-31.9137,23.1151,-43.9916,33.1530,-6.4863,-57.8389,-2.4920,23.2242
4.0110,13.8775,-5.1286,11.3137,0.5977,-0.6124,2.4822,2.4830,-1.8048
5.1914,8.4232,-1.8130,10.6476,-7.9203,7.9496,10.7422,0.2868,-0.6495
8.0435,12.5638,-2.1976,-1.8896,-0.9324,-1.0535,2.2468,0.2273,-2.9042
-3.0489,-31.9137,23.1151,-43.9916,33.1530,-6.4863,-57.8389,-2.4920,23.2242
-2.0995,0.1745,-0.2113,-3.3684,0.6833,-0.2942,3.0143,1.1266,-1.5205
5.1914,8.4232,-1.8130,10.6476,-7.9203,7.9496,10.7422,0.2868,-0.6495
6.1094,16.6303,-3.3729,11.7393,-11.3567,-6.1862,-9.0460,0.9068,2.5403
-3.2994,-6.1799,-3.0695,-4.8477,-5.6823,12.9895,-9.7867,0.0403,-0.5396
5.1914,8.4232,-1.8130,10.6476,-7.9203,7.9496,10.7422,0.2868,-0.6495
5.1914,8.4232,-1.8130,10.6476,-7.9203,7.9496,10.7422,0.2868,-0.6495
-2.0995,0.1745,-0.2113,-3.3684,0.6833,-0.2942,3.0143,1.1266,-1.5205
-2.1897,-0.1671,-0.0985,-3.3971,0.7059,-6.5770,17.6905,0.8981,-1.7609
-4.5239,10.6005,-6.9374,11.3511,-0.4327,-1.3446,13.1324,-3.1965,-5.1576
-2.0995,0.1745,-0.2113,-3.3684,0.6833,-0.2942,3.0143,1.1266,-1.5205
-2.4839,-0.4354,-1.3137,13.6038,-10.1753,-1.2109,2.6367,0.0893,-3.8945
-3.7385,-15.5804,10.4990,-19.6965,15.7102,-5.9554,-17.9417,-1.2934,8.4410
-2.0995,0.1745,-0.2113,-3.3684,0.6833,-0.2942,3.0143,1.1266,-1.5205
8.0435,12.5638,-2.1976,-1.8896,-0.9324,-1.0535,2.2468,0.2273,-2.9042
-3.8725,-14.5156,-0.6634,-5.2131,13.3146,-1.6375,-18.1080,-2.5176,6.1258
4.0554,10.5545,-4.0359,10.6910,-0.9444,6.4637,1.9624,-1.1959,-3.7160
-2.0549,-0.1657,-0.1423,12.3167,0.4242,-0.5252,2.7728,0.8579,-1.5768
-2.5416,-16.7911,8.9125,-18.3773,16.8578,-5.6175,-17.1853,-1.3975,8.1068
-2.0995,0.1745,-0.2113,-3.3684,0.6833,-0.2942,3.0143,1.1266,-1.5205
-2.0995,0.1745,-0.2113,-3.3684,0.6833,-0.2942,3.0143,1.1266,-1.5205
-5.3851,-0.2841,-0.7131,-4.9152,-0.5864,-0.9691,2.6037,0.5511,-2.2029
-2.7481,-16.6897,-0.9521,-4.3619,15.4948,-7.3138,-16.7416,-1.5167,5.9813
2.8069,-16.5958,8.0952,-18.3329,33.3387,-6.1508,1.8650,-1.7645,-1.7452
5.1914,8.4232,-1.8130,10.6476,-7.9203,7.9496,10.7422,0.2868,-0.6495
4.4971,14.3385,-5.6190,9.5758,-12.2481,-5.0564,12.4348,-2.5829,1.5123
-2.0995,0.1745,-0.2113,-3.3684,0.6833,-0.2942,3.0143,1.1266,-1.5205
-2.0177,0.0405,-0.1541,14.5218,0.3406,-0.3788,2.8954,2.0230,-1.6195
8.0435,12.5638,-2.1976,-1.8896,-0.9324,-1.0535,2.2468,0.2273,-2.9042
-4.2971,-14.3365,-0.8177,-5.2971,12.7353,-1.6892,-17.8551,-1.8184,5.1235
-2.4542,-0.1602,-0.5790,-3.7813,0.3837,-0.7785,2.7457,0.8480,2.6314
-2.0995,0.1745,-0.2113,-3.3684,0.6833,-0.2942,3.0143,1.1266,-1.5205
-4.2936,-13.6054,-0.8709,-4.9995,-0.6742,-16.9218,2.0844,-0.2665,-2.3615
2.4251,-2.9154,0.4615,13.3809,-3.3999,13.0865,10.8644,2.1072,3.4141
-2.4882,0.0017,-0.6614,-3.3774,0.2415,-0.4530,2.9711,0.7965,-5.4938
8.0435,12.5638,-2.1976,-1.8896,-0.9324,-1.0535,2.2468,0.2273,-2.9042
3.5218,10.5646,-4.0394,10.9954,-10.1671,6.3562,2.0655,-1.0832,-3.2102
4.9837,9.9817,-2.6808,10.3807,-9.2207,6.6742,1.8699,-0.8661,-3.5863
-2.0995,0.1745,-0.2113,-3.3684,0.6833,-0.2942,3.0143,1.1266,-1.5205
5.1914,8.4232,-1.8130,10.6476,-7.9203,7.9496,10.7422,0.2868,-0.6495
-1.9804,-13.8845,10.4297,-4.8627,-0.1640,-8.0565,-18.2315,-1.4114,6.4911
-3.0249,-14.4062,-1.2479,-4.4827,-0.4674,-9.8734,2.4790,0.1552,-2.4804
3.6247,13.1928,-5.5127,10.5647,0.0768,-0.9464,2.2709,-0.6280,-2.2810
2.4251,-2.9154,0.4615,13.3809,-3.3999,13.0865,10.8644,2.1072,3.4141
-2.0995,0.1745,-0.2113,-3.3684,0.6833,-0.2942,3.0143,1.1266,-1.5205
5.3794,17.2574,-1.2215,-2.9207,0.1296,-7.7728,2.4079,0.0132,-2.2512
-3.0195,-0.8025,-1.0393,-4.2560,0.2590,-7.5923,2.0878,-0.5008,4.5275
-3.2244,-0.4536,-1.3433,-3.8340,-11.2363,-0.8532,2.8205,0.2009,-4.5439
-2.0995,0.1745,-0.2113,-3.3684,0.6833,-0.2942,3.0143,1.1266,-1.5205
3.5218,10.5646,-4.0394,10.9954,-10.1671,6.3562,2.0655,-1.0832,-3.2102
-5.4962,-0.9857,-6.6152,-3.6191,-11.5467,-1.5564,2.3503,-2.1512,-3.6281
-3.1178,-15.1841,6.7809,-20.6608,-0.2403,-1.5070,-16.5756,-0.5517,4.0385
-2.0995,0.1745,-0.2113,-3.3684,0.6833,-0.2942,3.0143,1.1266,-1.5205
-4.5331,-0.8660,-3.1051,-4.5240,-10.3062,7.0971,13.0243,-2.7446,-3.8344
-2.4839,-0.4354,-1.3137,13.6038,-10.1753,-1.2109,2.6367,0.0893,-3.8945
5.1914,8.4232,-1.8130,10.6476,-7.9203,7.9496,10.7422,0.2868,-0.6495
5.1914,8.4232,-1.8130,10.6476,-7.9203,7.9496,10.7422,0.2868,-0.6495
1.2958,-14.6229,11.5648,-4.6637,30.6360,-6.4616,-39.4124,-1.4295,9.3152
-2.0995,0.1745,-0.2113,-3.3684,0.6833,-0.2942,3.0143,1.1266,-1.5205
5.1914,8.4232,-1.8130,10.6476,-7.9203,7.9496,10.7422,0.2868,-0.6495
-2.2459,-10.7328,-6.1945,13.6858,-0.3418,-0.8869,2.8818,0.6760,1.5511
-2.0995,0.1745,-0.2113,-3.3684,0.6833,-0.2942,3.0143,1.1266,-1.5205
-3.0640,-0.2674,-6.8801,-3.3630,0.3666,-0.7642,2.7296,0.4524,-2.0689
-3.7385,-15.5804,10.4990,-19.6965,15.7102,-5.9554,-17.9417,-1.2934,8.4410
1.0559,10.0815,2.2780,11.4991,-10.2324,6.0042,1.9940,-2.0691,-3.6933
-2.4839,-0.4354,-1.3137,13.6038,-10.1753,-1.2109,2.6367,0.0893,-3.8945
-2.0995,0.1745,-0.2113,-3.3684,0.6833,-0.2942,3.0143,1.1266,-1.5205
-3.1338,-0.6399,-1.3058,-4.5532,-0.0489,-9.3194,2.1987,-1.5060,-2.3403
-2.0995,0.1745,-0.2113,-3.3684,0.6833,-0.2942,3.0143,1.1266,-1.5205
5.1914,8.4232,-1.8130,10.6476,-7.9203,7.9496,10.7422,0.2868,-0.6495
