Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9
-0.8241,0.2110,-4.0099,-1.4116,-0.4347,-0.3841,0.9840,0.9577,0.2221
4.9311,0.8894,-3.7251,0.4458,-0.3430,0.5574,1.3596,1.4203,0.0199
-0.9384,0.2431,-3.3400,2.3348,-0.9952,-1.6143,0.4491,0.1957,-3.0551
-0.8241,0.2110,-4.0099,-1.4116,-0.4347,-0.3841,0.9840,0.9577,0.2221
-5.3614,-3.2583,-10.9906,-40.4429,-0.1129,-0.7399,-26.7990,-0.7585,0.7433
1.4198,0.5740,7.4234,2.7872,-0.0252,-0.7688,1.6337,5.2646,0.7756
1.5809,0.4742,10.6351,5.4356,1.4617,2.4027,7.5206,-0.0512,-0.5821
2.2439,-0.9705,5.7236,0.4586,-0.1220,-0.4968,-0.2631,-2.1585,-0.1355
-5.3614,-3.2583,-10.9906,-40.4429,-0.1129,-0.7399,-26.7990,-0.7585,0.7433
-0.8241,0.2110,-4.0099,-1.4116,-0.4347,-0.3841,0.9840,0.9577,0.2221
1.5809,0.4742,10.6351,5.4356,1.4617,2.4027,7.5206,-0.0512,-0.5821
1.1138,-0.1668,4.6474,2.0616,0.0167,-1.4165,-10.2396,1.7378,0.0348
-0.1756,0.4630,-3.5916,-0.9317,1.9610,1.0964,-2.3400,1.2859,-0.3677
1.5809,0.4742,10.6351,5.4356,1.4617,2.4027,7.5206,-0.0512,-0.5821
1.5809,0.4742,10.6351,5.4356,1.4617,2.4027,7.5206,-0.0512,-0.5821
-0.8241,0.2110,-4.0099,-1.4116,-0.4347,-0.3841,0.9840,0.9577,0.2221
-0.2122,0.1476,-4.6608,-1.2593,0.0623,0.9255,0.4144,0.7101,0.6025
-0.1833,1.2100,6.0724,3.6542,-1.1894,-1.6473,4.2308,0.1498,-0.1173
-0.8241,0.2110,-4.0099,-1.4116,-0.4347,-0.3841,0.9840,0.9577,0.2221
-0.9384,0.2431,-3.3400,2.3348,-0.9952,-1.6143,0.4491,0.1957,-3.0551
-1.6771,-0.3421,-4.9940,-3.9684,-1.5142,-0.7703,-8.4954,-2.3399,-0.5925
-0.8241,0.2110,-4.0099,-1.4116,-0.4347,-0.3841,0.9840,0.9577,0.2221
2.2439,-0.9705,5.7236,0.4586,-0.1220,-0.4968,-0.2631,-2.1585,-0.1355
-1.6723,0.2064,-3.8968,0.0672,-0.9832,-0.8262,-3.6345,-1.6477,0.7802
1.6751,-1.6911,5.4746,2.7134,0.0518,2.2516,-0.7487,-0.6420,-0.4518
0.7398,0.3549,-1.3182,7.7997,0.6805,-0.4416,1.0378,0.6068,1.9137
-0.1642,-0.4286,-4.8471,-2.8134,-0.8464,-0.8188,-8.3176,-3.0152,-0.3615
-0.8241,0.2110,-4.0099,-1.4116,-0.4347,-0.3841,0.9840,0.9577,0.2221
-0.8241,0.2110,-4.0099,-1.4116,-0.4347,-0.3841,0.9840,0.9577,0.2221
-3.4758,0.2193,-4.4579,-1.4609,-0.4341,-0.7192,0.8550,0.5319,0.0126
-0.4981,-0.4098,-3.6397,0.3109,-1.1321,-0.8832,-5.2091,-0.8221,0.6371
1.4619,-0.2113,-4.7596,1.0192,1.2743,0.6521,2.4648,-0.6384,0.9912
1.5809,0.4742,10.6351,5.4356,1.4617,2.4027,7.5206,-0.0512,-0.5821
1.5744,0.3154,7.7197,3.1969,1.2850,-2.1861,6.4344,0.2261,0.1819
-0.8241,0.2110,-4.0099,-1.4116,-0.4347,-0.3841,0.9840,0.9577,0.2221
0.4947,0.1932,-3.3490,7.6593,0.2769,-0.3848,1.4075,0.3459,1.7168
2.2439,-0.9705,5.7236,0.4586,-0.1220,-0.4968,-0.2631,-2.1585,-0.1355
-1.9989,0.0034,-3.6908,0.2213,-1.3611,-0.6918,-4.8807,0.3127,0.8825
-0.5255,0.4173,-3.7500,-0.6753,-0.1946,-0.0268,0.9557,0.9176,1.7423
-0.8241,0.2110,-4.0099,-1.4116,-0.4347,-0.3841,0.9840,0.9577,0.2221
-1.3098,1.0496,-4.6294,-1.0547,-0.3602,-1.4657,0.8758,0.4059,0.2159
3.0650,-0.4569,12.0164,5.5336,1.5018,2.5578,5.5523,-0.1495,-0.3408
-1.2563,0.3176,-4.2331,-0.2237,-0.4483,-0.3504,1.0122,0.9286,-0.5080
2.2439,-0.9705,5.7236,0.4586,-0.1220,-0.4968,-0.2631,-2.1585,-0.1355
1.3868,-1.7959,4.0113,2.6330,-0.3364,2.8717,-1.6785,-0.8699,0.7335
1.1803,-1.4487,4.6915,3.2355,-0.1438,1.7574,-2.5076,-2.3201,0.7240
-0.8241,0.2110,-4.0099,-1.4116,-0.4347,-0.3841,0.9840,0.9577,0.2221
1.5809,0.4742,10.6351,5.4356,1.4617,2.4027,7.5206,-0.0512,-0.5821
0.2475,1.0354,-3.8149,0.2972,-0.0211,-0.1561,-4.9360,0.1562,0.9775
-0.3583,0.4983,-3.7414,-0.5828,-0.1073,1.2361,1.3044,1.1094,0.5102
1.5008,0.0203,3.3906,1.7033,0.1612,-1.2099,-0.3081,-1.1524,0.4954
3.0650,-0.4569,12.0164,5.5336,1.5018,2.5578,5.5523,-0.1495,-0.3408
-0.8241,0.2110,-4.0099,-1.4116,-0.4347,-0.3841,0.9840,0.9577,0.2221
1.1295,0.0828,-4.5264,-0.7008,-0.6033,-5.1422,0.4278,0.5543,0.0580
-0.4419,0.3654,-4.7920,-0.1813,-0.1737,0.5540,1.5875,1.1969,1.6173
-1.2901,0.4889,-4.0458,0.9739,1.6264,-0.3291,1.1686,1.0429,-0.1191
-0.8241,0.2110,-4.0099,-1.4116,-0.4347,-0.3841,0.9840,0.9577,0.2221
1.3868,-1.7959,4.0113,2.6330,-0.3364,2.8717,-1.6785,-0.8699,0.7335
-0.6078,0.6245,7.0370,1.1888,0.3566,-0.8031,-0.3843,-1.8638,0.2755
-0.0129,-0.3129,-2.8083,-1.6032,-0.0535,-0.4857,-5.3982,1.5412,1.0131
-0.8241,0.2110,-4.0099,-1.4116,-0.4347,-0.3841,0.9840,0.9577,0.2221
-0.2483,-0.2772,-8.8952,-2.8983,-0.2807,-2.7656,-2.6136,-3.6730,-1.0683
-0.9384,0.2431,-3.3400,2.3348,-0.9952,-1.6143,0.4491,0.1957,-3.0551
1.5809,0.4742,10.6351,5.4356,1.4617,2.4027,7.5206,-0.0512,-0.5821
1.5809,0.4742,10.6351,5.4356,1.4617,2.4027,7.5206,-0.0512,-0.5821
-3.1273,0.5263,-3.3803,0.1989,-0.2129,-0.1880,-8.4528,-1.9019,0.4702
-0.8241,0.2110,-4.0099,-1.4116,-0.4347,-0.3841,0.9840,0.9577,0.2221
1.5809,0.4742,10.6351,5.4356,1.4617,2.4027,7.5206,-0.0512,-0.5821
-0.7844,-0.0691,1.6132,1.0553,-0.0995,-1.7737,-0.1735,-0.9997,0.3061
-0.8241,0.2110,-4.0099,-1.4116,-0.4347,-0.3841,0.9840,0.9577,0.2221
-0.6195,0.6797,7.7728,1.5092,-0.2518,-1.0640,0.8315,-0.2360,0.2260
-1.6771,-0.3421,-4.9940,-3.9684,-1.5142,-0.7703,-8.4954,-2.3399,-0.5925
1.0990,0.1482,-3.7849,5.5327,0.5340,0.3885,-0.1354,-2.1889,-0.7429
-0.9384,0.2431,-3.3400,2.3348,-0.9952,-1.6143,0.4491,0.1957,-3.0551
-0.8241,0.2110,-4.0099,-1.4116,-0.4347,-0.3841,0.9840,0.9577,0.2221
-0.6298,0.2597,-5.2971,-0.8768,-0.4211,0.6179,1.4584,0.0158,0.0553
-0.8241,0.2110,-4.0099,-1.4116,-0.4347,-0.3841,0.9840,0.9577,0.2221
1.5809,0.4742,10.6351,5.4356,1.4617,2.4027,7.5206,-0.0512,-0.5821
