Residual,Absolute_Error
3.4330,3.4330
5.9425,5.9425
-6.4499,6.4499
-31.5670,31.5670
-8.8473,8.8473
8.8939,8.8939
1.2865,1.2865
3.2694,3.2694
-8.8473,8.8473
6.4330,6.4330
-14.7135,14.7135
26.2244,26.2244
31.4594,31.4594
25.2865,25.2865
25.2865,25.2865
9.4330,9.4330
-8.9310,8.9310
1.3332,1.3332
7.4330,7.4330
-6.4499,6.4499
-1.4205,1.4205
11.4330,11.4330
3.2694,3.2694
-0.9865,0.9865
-29.9593,29.9593
-25.3779,25.3779
-1.9110,1.9110
-1.5670,1.5670
9.4330,9.4330
-12.0765,12.0765
-9.0592,9.0592
0.5196,0.5196
25.2865,25.2865
-31.6749,31.6749
7.4330,7.4330
-9.5440,9.5440
3.2694,3.2694
-9.8204,9.8204
12.2005,12.2005
2.4330,2.4330
-13.8386,13.8386
6.4896,6.4896
23.6655,23.6655
3.2694,3.2694
-11.4963,11.4963
-12.3302,12.3302
0.4330,0.4330
-17.7135,17.7135
19.4641,19.4641
14.4191,14.4191
3.0599,3.0599
6.4896,6.4896
-1.5670,1.5670
-5.2884,5.2884
9.2862,9.2862
22.3610,22.3610
12.4330,12.4330
-11.4963,11.4963
21.9573,21.9573
13.6988,13.6988
-4.5670,4.5670
-21.3404,21.3404
-6.4499,6.4499
-14.7135,14.7135
18.2865,18.2865
-12.9868,12.9868
-6.5670,6.5670
25.2865,25.2865
-28.2133,28.2133
7.4330,7.4330
14.0957,14.0957
5.5795,5.5795
7.5768,7.5768
-6.4499,6.4499
-8.5670,8.5670
-2.4813,2.4813
-7.5670,7.5670
25.2865,25.2865
