Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9
-0.8636,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
3.6270,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
-0.8636,0.0102,-0.8897,11.3930,-5.6655,0.0577,0.2722,-0.0214,-4.6287
-0.8636,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
-9.8446,0.5415,-9.5643,-47.8507,14.4212,-4.4457,-31.5750,-1.6893,11.0687
3.6270,-0.2554,3.4476,11.3930,1.0301,0.0577,0.2722,-0.8553,0.6037
3.6270,-0.2554,3.4476,11.3930,-5.6655,2.3095,10.8879,0.8126,-4.6287
3.6270,-0.2554,3.4476,-3.4179,1.0301,0.0577,0.2722,0.8126,-4.6287
-9.8446,0.5415,-9.5643,-47.8507,14.4212,-4.4457,-31.5750,-1.6893,11.0687
-0.8636,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
3.6270,-0.2554,3.4476,11.3930,-5.6655,2.3095,10.8879,0.8126,-4.6287
3.6270,-0.2554,3.4476,11.3930,-5.6655,-2.1940,-10.3435,-0.8553,5.8362
-0.8636,0.2759,-0.8897,-3.4179,-5.6655,2.3095,-10.3435,-0.0214,-4.6287
3.6270,-0.2554,3.4476,11.3930,-5.6655,2.3095,10.8879,0.8126,-4.6287
3.6270,-0.2554,3.4476,11.3930,-5.6655,2.3095,10.8879,0.8126,-4.6287
-0.8636,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
-0.8636,0.0102,-0.8897,-3.4179,1.0301,-2.1940,10.8879,-0.0214,0.6037
-0.8636,-0.2554,3.4476,11.3930,1.0301,0.0577,10.8879,0.8126,-4.6287
-0.8636,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
-0.8636,0.0102,-0.8897,11.3930,-5.6655,0.0577,0.2722,-0.0214,-4.6287
-5.3541,0.2759,-5.2270,-18.2288,7.7256,-2.1940,-10.3435,-0.8553,5.8362
-0.8636,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
3.6270,-0.2554,3.4476,-3.4179,1.0301,0.0577,0.2722,0.8126,-4.6287
-5.3541,0.2759,-0.8897,-3.4179,7.7256,0.0577,-10.3435,-1.6893,5.8362
3.6270,-0.2554,3.4476,11.3930,1.0301,2.3095,0.2722,-0.0214,-4.6287
-0.8636,0.0102,-0.8897,11.3930,1.0301,0.0577,0.2722,-0.0214,0.6037
-0.8636,0.2759,-5.2270,-18.2288,7.7256,-2.1940,-10.3435,-0.8553,5.8362
-0.8636,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
-0.8636,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
-5.3541,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
-0.8636,0.2759,-0.8897,-3.4179,7.7256,-2.1940,-10.3435,-0.8553,5.8362
3.6270,0.2759,-5.2270,-18.2288,14.4212,-2.1940,0.2722,-0.8553,0.6037
3.6270,-0.2554,3.4476,11.3930,-5.6655,2.3095,10.8879,0.8126,-4.6287
3.6270,-0.2554,3.4476,11.3930,-5.6655,-2.1940,10.8879,0.8126,5.8362
-0.8636,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
-0.8636,0.0102,-0.8897,11.3930,1.0301,0.0577,0.2722,-0.8553,0.6037
3.6270,-0.2554,3.4476,-3.4179,1.0301,0.0577,0.2722,0.8126,-4.6287
-5.3541,0.2759,-0.8897,-3.4179,7.7256,0.0577,-10.3435,-0.8553,5.8362
-0.8636,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,5.8362
-0.8636,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
-5.3541,0.2759,-0.8897,-3.4179,1.0301,-4.4457,0.2722,-0.0214,0.6037
3.6270,0.5415,3.4476,11.3930,-5.6655,2.3095,10.8879,0.8126,-4.6287
-0.8636,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,-4.6287
3.6270,-0.2554,3.4476,-3.4179,1.0301,0.0577,0.2722,0.8126,-4.6287
3.6270,-0.2554,3.4476,11.3930,-5.6655,2.3095,0.2722,-0.0214,0.6037
3.6270,-0.2554,3.4476,11.3930,-5.6655,2.3095,0.2722,0.8126,0.6037
-0.8636,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
3.6270,-0.2554,3.4476,11.3930,-5.6655,2.3095,10.8879,0.8126,-4.6287
-5.3541,0.2759,-5.2270,-3.4179,1.0301,-2.1940,-10.3435,-0.8553,5.8362
-0.8636,0.2759,-0.8897,-3.4179,1.0301,-2.1940,0.2722,-0.0214,0.6037
3.6270,-0.2554,3.4476,11.3930,1.0301,0.0577,0.2722,-0.0214,0.6037
3.6270,0.5415,3.4476,11.3930,-5.6655,2.3095,10.8879,0.8126,-4.6287
-0.8636,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
3.6270,-0.2554,-0.8897,-3.4179,1.0301,-4.4457,0.2722,-0.0214,0.6037
-0.8636,0.0102,-0.8897,-3.4179,1.0301,-2.1940,0.2722,-0.8553,5.8362
-0.8636,0.0102,-0.8897,-3.4179,-5.6655,0.0577,0.2722,-0.0214,-4.6287
-0.8636,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
3.6270,-0.2554,3.4476,11.3930,-5.6655,2.3095,0.2722,-0.0214,0.6037
-0.8636,0.0102,3.4476,-3.4179,-5.6655,0.0577,0.2722,0.8126,0.6037
-0.8636,0.2759,-5.2270,-18.2288,1.0301,0.0577,-10.3435,-0.0214,5.8362
-0.8636,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
-0.8636,0.0102,-0.8897,-3.4179,-5.6655,2.3095,10.8879,0.8126,-4.6287
-0.8636,0.0102,-0.8897,11.3930,-5.6655,0.0577,0.2722,-0.0214,-4.6287
3.6270,-0.2554,3.4476,11.3930,-5.6655,2.3095,10.8879,0.8126,-4.6287
3.6270,-0.2554,3.4476,11.3930,-5.6655,2.3095,10.8879,0.8126,-4.6287
-9.8446,0.2759,-5.2270,-3.4179,14.4212,-2.1940,-20.9593,-1.6893,5.8362
-0.8636,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
3.6270,-0.2554,3.4476,11.3930,-5.6655,2.3095,10.8879,0.8126,-4.6287
-0.8636,0.2759,3.4476,11.3930,1.0301,0.0577,0.2722,-0.0214,5.8362
-0.8636,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
-0.8636,0.0102,3.4476,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
-5.3541,0.2759,-5.2270,-18.2288,7.7256,-2.1940,-10.3435,-0.8553,5.8362
3.6270,-0.2554,-5.2270,11.3930,-5.6655,2.3095,0.2722,0.8126,-4.6287
-0.8636,0.0102,-0.8897,11.3930,-5.6655,0.0577,0.2722,-0.0214,-4.6287
-0.8636,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
-0.8636,0.0102,-0.8897,-3.4179,1.0301,-2.1940,0.2722,-0.8553,0.6037
-0.8636,0.0102,-0.8897,-3.4179,1.0301,0.0577,0.2722,-0.0214,0.6037
3.6270,-0.2554,3.4476,11.3930,-5.6655,2.3095,10.8879,0.8126,-4.6287
