Residual,Absolute_Error
2.8997,2.8997
-1.8403,1.8403
-0.1000,0.1000
-32.1003,32.1003
-0.0999,0.0999
4.6813,4.6813
-16.8999,16.8999
-0.1001,0.1001
-0.0999,0.0999
5.8997,5.8997
-32.8999,32.8999
44.0527,44.0527
10.8226,10.8226
7.1001,7.1001
7.1001,7.1001
8.8997,8.8997
-8.9773,8.9773
4.1734,4.1734
6.8997,6.8997
-0.1000,0.1000
-3.2831,3.2831
10.8997,10.8997
-0.1001,0.1001
-0.9529,0.9529
-36.0770,36.0770
-18.0801,18.0801
3.3013,3.3013
-2.1003,2.1003
8.8997,8.8997
-11.8998,11.8998
-0.1002,0.1002
-11.3729,11.3729
7.1001,7.1001
11.0656,11.0656
6.8997,6.8997
0.8956,0.8956
-0.1001,0.1001
-5.6728,5.6728
13.7011,13.7011
1.8997,1.8997
-32.9718,32.9718
0.0995,0.0995
15.6586,15.6586
-0.1001,0.1001
-0.0997,0.0997
0.8432,0.8432
-0.1003,0.1003
-35.8999,35.8999
0.9919,0.9919
6.1041,6.1041
10.1546,10.1546
0.0995,0.0995
-2.1003,2.1003
-0.0998,0.0998
12.9001,12.9001
12.3479,12.3479
11.8997,11.8997
-0.0997,0.0997
16.5153,16.5153
0.9442,0.9442
-5.1003,5.1003
-0.1002,0.1002
-0.1000,0.1000
-32.8999,32.8999
0.1001,0.1001
-24.4089,24.4089
-7.1003,7.1003
7.1001,7.1001
-7.9178,7.9178
6.8997,6.8997
8.2217,8.2217
3.7169,3.7169
11.4024,11.4024
-0.1000,0.1000
-9.1003,9.1003
-2.1004,2.1004
-8.1003,8.1003
7.1001,7.1001
