Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9
-1.0324,-0.5695,-4.5373,-1.6738,0.4102,0.0185,2.3902,1.1344,-0.3736
5.1362,1.1061,-4.4996,-1.2416,0.1375,0.6911,1.7001,2.3274,-1.7532
-3.1199,-0.9427,-4.2422,2.2526,-1.6415,-1.5220,3.1371,1.3030,-1.4730
-1.0324,-0.5695,-4.5373,-1.6738,0.4102,0.0185,2.3902,1.1344,-0.3736
-6.2861,1.9493,-1.7069,-42.3868,-4.0410,-3.8245,-25.4287,-4.8894,-1.2043
1.7045,3.2726,3.4111,4.5488,0.6794,0.6929,1.4768,7.9751,-1.3147
1.7272,1.1930,9.3124,6.3065,0.3455,2.3554,8.2104,-2.1401,1.7436
1.7388,-0.9184,6.0943,-1.7555,0.6946,1.0810,-0.0114,-3.7918,1.3526
-6.2861,1.9493,-1.7069,-42.3868,-4.0410,-3.8245,-25.4287,-4.8894,-1.2043
-1.0324,-0.5695,-4.5373,-1.6738,0.4102,0.0185,2.3902,1.1344,-0.3736
1.7272,1.1930,9.3124,6.3065,0.3455,2.3554,8.2104,-2.1401,1.7436
0.3191,2.0842,6.6565,1.7077,-0.0560,-3.6085,-13.1066,5.2097,-1.5941
-3.2736,-0.8138,-5.3949,-0.4735,0.0370,-1.5011,-11.2920,2.4586,-2.1493
1.7272,1.1930,9.3124,6.3065,0.3455,2.3554,8.2104,-2.1401,1.7436
1.7272,1.1930,9.3124,6.3065,0.3455,2.3554,8.2104,-2.1401,1.7436
-1.0324,-0.5695,-4.5373,-1.6738,0.4102,0.0185,2.3902,1.1344,-0.3736
-0.9266,-0.7511,-6.1569,-1.9749,0.1355,-0.3550,-1.2879,1.0595,-0.5484
-0.5357,3.1551,7.9792,3.7784,0.7914,-1.7756,5.0485,0.4797,0.3377
-1.0324,-0.5695,-4.5373,-1.6738,0.4102,0.0185,2.3902,1.1344,-0.3736
-3.1199,-0.9427,-4.2422,2.2526,-1.6415,-1.5220,3.1371,1.3030,-1.4730
0.8480,1.1867,-2.9534,-1.9798,-3.4076,-0.2044,-18.5532,-0.0598,-1.3088
-1.0324,-0.5695,-4.5373,-1.6738,0.4102,0.0185,2.3902,1.1344,-0.3736
1.7388,-0.9184,6.0943,-1.7555,0.6946,1.0810,-0.0114,-3.7918,1.3526
4.7660,1.6099,-4.7234,1.1296,-1.9697,0.7822,-9.6530,-5.0026,0.9838
3.5002,-2.1833,3.9209,5.4988,0.7185,1.0435,-0.0247,0.9780,3.6722
-1.0364,-0.6569,-3.5693,4.3213,1.1899,-1.2706,3.4517,0.5224,0.4977
-0.1034,-1.1644,-2.6620,-0.9271,-0.4483,-1.5914,-13.9496,-0.5144,-2.0327
-1.0324,-0.5695,-4.5373,-1.6738,0.4102,0.0185,2.3902,1.1344,-0.3736
-1.0324,-0.5695,-4.5373,-1.6738,0.4102,0.0185,2.3902,1.1344,-0.3736
-2.1256,-1.5670,-4.2693,-2.9849,0.6350,-0.0381,2.7651,-0.2932,-0.5186
-0.1852,-1.6221,-4.5271,1.6881,0.7817,-0.6978,-8.6073,1.4779,2.1913
3.1064,0.7238,-1.6604,6.3893,0.9826,-0.8163,3.0651,1.7054,-0.2571
1.7272,1.1930,9.3124,6.3065,0.3455,2.3554,8.2104,-2.1401,1.7436
-1.5366,1.2890,9.0545,2.7662,1.5066,-3.8986,5.6469,-0.2571,-1.7487
-1.0324,-0.5695,-4.5373,-1.6738,0.4102,0.0185,2.3902,1.1344,-0.3736
-1.4494,-2.8778,-3.5140,4.5789,1.2254,-0.2488,3.6395,2.2652,0.4309
1.7388,-0.9184,6.0943,-1.7555,0.6946,1.0810,-0.0114,-3.7918,1.3526
0.7500,1.0249,-4.6882,1.1000,-1.9796,0.8320,-11.0861,1.4643,3.8574
-0.6348,-0.4814,-4.5361,-0.9130,0.4493,0.2444,1.6712,1.2919,0.2428
-1.0324,-0.5695,-4.5373,-1.6738,0.4102,0.0185,2.3902,1.1344,-0.3736
3.3005,4.6198,-4.2289,-3.1142,0.7564,-2.2411,3.4180,-0.3791,-0.3496
4.9114,1.5579,9.4852,5.8319,-0.8063,2.3029,5.9789,-2.0058,1.9406
-2.8402,-0.5629,-4.7940,-1.4801,0.9600,-0.1404,2.1381,1.6352,-0.8677
1.7388,-0.9184,6.0943,-1.7555,0.6946,1.0810,-0.0114,-3.7918,1.3526
0.3530,-1.8418,3.4956,5.3522,0.1036,1.2474,-0.1251,-0.0822,-0.9588
-1.4204,-0.8622,5.1419,6.6138,0.0742,0.7915,-0.5049,-0.5926,0.4454
-1.0324,-0.5695,-4.5373,-1.6738,0.4102,0.0185,2.3902,1.1344,-0.3736
1.7272,1.1930,9.3124,6.3065,0.3455,2.3554,8.2104,-2.1401,1.7436
3.9435,1.8124,-2.6386,0.5188,1.1086,-1.7053,-11.3545,2.1423,2.0502
-0.9238,0.5584,-4.1801,-1.9122,0.4102,-0.2286,2.7572,1.0024,0.0020
1.4268,-1.0507,3.3019,2.7583,0.6440,-0.2344,0.9251,-0.7973,-1.2479
4.9114,1.5579,9.4852,5.8319,-0.8063,2.3029,5.9789,-2.0058,1.9406
-1.0324,-0.5695,-4.5373,-1.6738,0.4102,0.0185,2.3902,1.1344,-0.3736
0.6548,-0.7282,-3.6399,-1.6869,0.0365,-3.8902,1.7275,1.1321,-1.6535
-0.4836,-1.7390,-4.0788,-1.2787,0.4848,0.1353,2.0164,2.8041,-0.3707
-3.1159,-0.8553,-4.7630,-0.6562,0.1361,-0.1410,2.1283,1.9150,-1.8153
-1.0324,-0.5695,-4.5373,-1.6738,0.4102,0.0185,2.3902,1.1344,-0.3736
0.3530,-1.8418,3.4956,5.3522,0.1036,1.2474,-0.1251,-0.0822,-0.9588
-0.3982,-0.6652,6.8166,-0.9319,0.2482,0.0870,0.9651,0.1136,0.6255
-0.4954,-0.7579,1.0588,0.7329,0.7841,0.6284,-11.5338,1.8336,-0.3557
-1.0324,-0.5695,-4.5373,-1.6738,0.4102,0.0185,2.3902,1.1344,-0.3736
-1.9839,-2.2620,-8.0072,-3.6351,-0.6672,-1.9682,-0.1504,-1.9153,-2.1589
-3.1199,-0.9427,-4.2422,2.2526,-1.6415,-1.5220,3.1371,1.3030,-1.4730
1.7272,1.1930,9.3124,6.3065,0.3455,2.3554,8.2104,-2.1401,1.7436
1.7272,1.1930,9.3124,6.3065,0.3455,2.3554,8.2104,-2.1401,1.7436
5.0865,2.2360,-1.7614,1.2013,-1.5349,-1.2620,-19.8746,-4.8270,-1.0556
-1.0324,-0.5695,-4.5373,-1.6738,0.4102,0.0185,2.3902,1.1344,-0.3736
1.7272,1.1930,9.3124,6.3065,0.3455,2.3554,8.2104,-2.1401,1.7436
-1.7257,0.1387,3.6889,1.8183,0.9476,-1.1364,1.7440,-0.2097,-0.4402
-1.0324,-0.5695,-4.5373,-1.6738,0.4102,0.0185,2.3902,1.1344,-0.3736
-0.9829,-0.1391,5.5750,-0.5816,0.4982,-0.0414,1.4033,0.3917,-0.6368
0.8480,1.1867,-2.9534,-1.9798,-3.4076,-0.2044,-18.5532,-0.0598,-1.3088
0.5464,-0.0719,0.2884,6.1349,-0.8978,0.9849,0.7078,-4.8499,0.6108
-3.1199,-0.9427,-4.2422,2.2526,-1.6415,-1.5220,3.1371,1.3030,-1.4730
-1.0324,-0.5695,-4.5373,-1.6738,0.4102,0.0185,2.3902,1.1344,-0.3736
-0.8812,-1.7572,-4.1014,-2.0534,0.4457,0.7119,2.6553,2.4646,-0.2461
-1.0324,-0.5695,-4.5373,-1.6738,0.4102,0.0185,2.3902,1.1344,-0.3736
1.7272,1.1930,9.3124,6.3065,0.3455,2.3554,8.2104,-2.1401,1.7436
