,因子1,因子2,因子3,因子4
9、人本思维能力—1.在实践中，我能够主动选择并使用数字工具,0.2984420832663265,0.2697302850193952,0.6752438085479018,0.15256845880607642
9、2.我对进行AI技术的学习有积极的态度,0.3262589593876466,0.21255008605038425,0.7850343926267639,0.0033029679346371532
9、3.我需要通过AI技术提升学习与科研能力,0.06963032471238807,0.19651097696907252,0.640570521472785,0.16317797266732365
9、4.您认为在教育中由人工智能代替您做出决策的程度,0.19068966935653348,0.03952712538964336,0.15786020174893714,0.6093747098601081
9、5.当使用人工智能时，我能够评估AI在学习决策中的潜在风险,0.06575497462476336,0.6458838777852174,0.05813869250423108,0.1703875229380067
9、6.当使用人工智能时，我能够评估AI在学习决策中的合适性,0.25884762711126946,0.636548694385252,0.23574513827584948,0.242716489533124
9、7.我认为AI技术能够对我的行为规范产生影响,0.16519360136341432,0.13858136880090194,-0.017485906032734845,0.8374236271192792
9、8.我认为AI技术能够对我的社会价值观产生影响,0.05946074630137048,0.1414429611117989,0.04839447083854024,0.7137393370070617
9、9.我认为AI技术的使用能够实现平等受益,0.2070559827080483,0.1241838114304003,0.44892586130828843,0.5432767970542292
10、人工智能伦理能力—1.在选择AI生成的内容时，我能够关注其可靠性和道德性,0.23647170045095126,0.5591171427206988,0.3107301171842456,0.24455516647879644
10、2.我了解使用AI技术的安全和隐私保护的重要性,0.22015380193910714,0.7679209772076278,0.098845810177669,0.1772110194799391
10、3.我在使用AI进行科研时，能关注到学术伦理,0.25234492092354416,0.7749859280475674,0.16332141331924868,0.04351375630037605
10、4.在使用AI技术时，我能够尊重与保护数据隐私与产权,0.3989057365126496,0.7281861856568946,0.13810300290216834,-0.0448692266386545
10、5.在使用AI技术时，我能够遵守法律法规,0.2992633862419545,0.6332795148642197,0.38474296115928486,0.11763693937482989
10、6.在使用AI生成内容时，我能够带有批判性的甄别,0.4306120168134838,0.48110060020474027,0.4248287056581465,-0.1638760233018436
10、7.我认为人工智能技术在教育中的应用，能够被大众理解,0.33520508977950664,0.3604105016028509,0.6092467927014776,0.10161527338882435
10、8.我能够在使用AI技术的过程中明确责任。尊重规则,0.2194895812637117,0.6131249602203906,0.39934846422663733,0.08746973329198088
10、9.在进行学术数据搜集时，我能够确保个人数据匿名化，符合规范,0.3171496805240149,0.5364694672437721,0.481615881248606,0.1981656811810086
11、人工智能基础和应用能力—1.我能够掌握基本的人工智能概念,0.4876852495455723,0.5463922572631444,0.24085978432224975,0.14266219293315255
11、2.我能够掌握基本的人工智能技术,0.6429542877753379,0.3644044495310231,0.2802444896756195,0.29326362030378195
11、3.我了解基本的AI智能指令,0.5265613632531712,0.5162734411704812,0.20905504347075501,-0.06665446066472729
11、4.我能够利用AI技术促进数字学习,0.6046374768670374,0.3034345656741983,0.42485819302286854,0.18227310692626025
11、5.我能够利用AI技术促进专业学习,0.6459134626779918,0.3655331235117922,0.3715648374100762,-0.04123359863865188
11、6.我能够利用AI技术促进学术科研,0.5380995339536964,0.2860554093566674,0.6194368613876214,0.09048226938126995
11、7.我能够利用AI技术提升学习能力,0.6417585193890409,0.3386834408033271,0.46635882800164336,-0.10608065677731016
11、8.我能够利用AI技术优化学习环境,0.6063798312958888,0.015434779954278978,0.47703309911672637,0.3099417240811861
11、9.我能够利用AI技术创新科研模式,0.5131086101986106,0.17294804464682698,0.14397963492235846,0.3581068399141916
12、人工智能学习能力—1.我能够利用AI辅助工具设定学习目标,0.6342713394686602,0.2515934708240446,0.16972302877445153,0.27272034407759216
12、2.我能够利用AI辅助工具选择学习内容,0.6212186872673982,0.27409228901779786,0.45373155282715805,0.2708420857182938
12、3.我能够利用AI辅助工具优化学习效果,0.6711184263804916,0.0355512841601639,0.4879149331047983,0.20991963353876616
12、4.我能够利用AI技术整合数字学习资源,0.5915484901564191,0.4705366211259105,0.24519664954711823,0.01934734518174982
12、5.我能够利用AI技术整合数字学习路径,0.6253907225134506,0.45790118597354806,0.10318182680328676,0.029168768859812053
12、6.我能够利用AI技术整合数字资源完善个性化学习,0.6738626840838586,0.2986478402555145,0.3321531193919505,0.16223969429607438
12、7.我能够利用AI技术创建新型学习模式,0.7318066401386271,0.24161607707392363,0.1583262117749295,0.04547942096112829
12、8.我能够利用AI技术调整学习策略，满足个性化学习需求,0.599851749307476,0.34340756112290416,0.35264139142648215,0.18442091070207223
12、9.我能够利用AI技术满足自身在特定及跨学科学习中的需求,0.6936292460447847,0.30621951600430564,0.20082778686721905,0.13992543724787213
12、10.我能够利用AI技术优化知识获取模式,0.6790030406136723,0.1396722619818323,0.28476322275370514,0.291336386650178
12、11.我能够利用AI技术生成知识网络,0.7459497085088417,0.1908245759938172,0.042935790014623554,0.10002048050677587
12、12.我能够利用AI技术实现知识的转化,0.6551787051881559,0.25307165876006227,0.11962789014158709,0.330645160919702
