量表,变量,KS统计量,KS_p值,游程统计量,游程p值
AI能力评估,9、人本思维能力—1.在实践中，我能够主动选择并使用数字工具,0.30307419325046264,2.277431767114831e-28,-2.8111374183633133,0.004936669651564756
AI能力评估,9、2.我对进行AI技术的学习有积极的态度,0.2822030482782215,1.3761624151415252e-24,-2.8111374183633133,0.004936669651564756
AI能力评估,9、3.我需要通过AI技术提升学习与科研能力,0.2804607452862241,2.7616167029903868e-24,-2.8111374183633133,0.004936669651564756
AI能力评估,9、4.您认为在教育中由人工智能代替您做出决策的程度,0.18759379617003574,5.1982993230236386e-11,-2.8111374183633133,0.004936669651564756
AI能力评估,9、5.当使用人工智能时，我能够评估AI在学习决策中的潜在风险,0.2119754946832808,5.797863614876467e-14,-2.8111374183633133,0.004936669651564756
AI能力评估,9、6.当使用人工智能时，我能够评估AI在学习决策中的合适性,0.3255239183923348,9.140640250862041e-33,-2.8111374183633133,0.004936669651564756
AI能力评估,9、7.我认为AI技术能够对我的行为规范产生影响,0.3106761713081344,8.077058882830575e-30,-2.8111374183633133,0.004936669651564756
AI能力评估,9、8.我认为AI技术能够对我的社会价值观产生影响,0.23167610026772445,1.2690905002236645e-16,-2.8111374183633133,0.004936669651564756
AI能力评估,9、9.我认为AI技术的使用能够实现平等受益,0.19927458404415804,2.2276795666072157e-12,-2.8111374183633133,0.004936669651564756
AI能力评估,10、人工智能伦理能力—1.在选择AI生成的内容时，我能够关注其可靠性和道德性,0.26222819642957296,3.064735320660681e-21,-2.8111374183633133,0.004936669651564756
AI能力评估,10、2.我了解使用AI技术的安全和隐私保护的重要性,0.23892839321340792,1.1535070936827458e-17,-2.8111374183633133,0.004936669651564756
AI能力评估,10、3.我在使用AI进行科研时，能关注到学术伦理,0.2995185771141394,1.0526742332942047e-27,-2.8111374183633133,0.004936669651564756
AI能力评估,10、4.在使用AI技术时，我能够尊重与保护数据隐私与产权,0.22198273210746877,2.77342918363848e-15,-2.8111374183633133,0.004936669651564756
AI能力评估,10、5.在使用AI技术时，我能够遵守法律法规,0.27885096170353785,5.2343120634426835e-24,-2.8111374183633133,0.004936669651564756
AI能力评估,10、6.在使用AI生成内容时，我能够带有批判性的甄别,0.25280566949244354,9.435914598948585e-20,-2.8111374183633133,0.004936669651564756
AI能力评估,10、7.我认为人工智能技术在教育中的应用，能够被大众理解,0.2873684502586871,1.6982585404914028e-25,-2.8111374183633133,0.004936669651564756
AI能力评估,10、8.我能够在使用AI技术的过程中明确责任。尊重规则,0.292599256707565,1.9574425972901124e-26,-2.8111374183633133,0.004936669651564756
AI能力评估,10、9.在进行学术数据搜集时，我能够确保个人数据匿名化，符合规范,0.295058436836952,6.985900766954289e-27,-2.8111374183633133,0.004936669651564756
AI能力评估,11、人工智能基础和应用能力—1.我能够掌握基本的人工智能概念,0.2911260406141761,3.612516113822531e-26,-2.8111374183633133,0.004936669651564756
AI能力评估,11、2.我能够掌握基本的人工智能技术,0.25256902069675774,1.0266482989938092e-19,-2.8111374183633133,0.004936669651564756
AI能力评估,11、3.我了解基本的AI智能指令,0.25263543167855995,1.0026369144955992e-19,-2.8111374183633133,0.004936669651564756
AI能力评估,11、4.我能够利用AI技术促进数字学习,0.33088674318185873,7.235402774585364e-34,-2.8111374183633133,0.004936669651564756
AI能力评估,11、5.我能够利用AI技术促进专业学习,0.33136418889974456,5.760080896426428e-34,-2.8111374183633133,0.004936669651564756
AI能力评估,11、6.我能够利用AI技术促进学术科研,0.319101424451082,1.7946721788967215e-31,-2.8111374183633133,0.004936669651564756
AI能力评估,11、7.我能够利用AI技术提升学习能力,0.33093527216884444,7.069746294373454e-34,-2.8111374183633133,0.004936669651564756
AI能力评估,11、8.我能够利用AI技术优化学习环境,0.30919577019430383,1.5586234454941664e-29,-2.8111374183633133,0.004936669651564756
AI能力评估,11、9.我能够利用AI技术创新科研模式,0.26963700350547376,1.885171668661755e-22,-2.8111374183633133,0.004936669651564756
AI能力评估,12、人工智能学习能力—1.我能够利用AI辅助工具设定学习目标,0.2985849917979448,1.5683624705613136e-27,-2.8111374183633133,0.004936669651564756
AI能力评估,12、2.我能够利用AI辅助工具选择学习内容,0.32456056757373186,1.4346201316892628e-32,-2.8111374183633133,0.004936669651564756
AI能力评估,12、3.我能够利用AI辅助工具优化学习效果,0.319471056618729,1.5147439720149747e-31,-2.8111374183633133,0.004936669651564756
AI能力评估,12、4.我能够利用AI技术整合数字学习资源,0.29127019960461326,3.402774510044232e-26,-2.8111374183633133,0.004936669651564756
AI能力评估,12、5.我能够利用AI技术整合数字学习路径,0.25588144775594823,3.128143254938063e-20,-2.8111374183633133,0.004936669651564756
AI能力评估,12、6.我能够利用AI技术整合数字资源完善个性化学习,0.2780171629561541,7.27812142800543e-24,-2.8111374183633133,0.004936669651564756
AI能力评估,12、7.我能够利用AI技术创建新型学习模式,0.2263563197503129,7.01532553937826e-16,-2.8111374183633133,0.004936669651564756
AI能力评估,12、8.我能够利用AI技术调整学习策略，满足个性化学习需求,0.3162668601409231,6.540774228562891e-31,-2.8111374183633133,0.004936669651564756
AI能力评估,12、9.我能够利用AI技术满足自身在特定及跨学科学习中的需求,0.30593201723666635,6.559551136739756e-29,-2.8111374183633133,0.004936669651564756
AI能力评估,12、10.我能够利用AI技术优化知识获取模式,0.25552809181279035,3.553739560002035e-20,-2.8111374183633133,0.004936669651564756
