Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10
-1.6350,-3.4524,0.2496,0.9888,-7.5029,-1.7024,-1.1116,-0.1698,0.0572,0.8279,-3.3876,0.4879,-2.9062,-0.9531,1.1225
-1.6350,-3.4524,-2.9954,-2.6839,2.0910,1.9862,0.2223,0.0279,0.3544,-0.6072,-0.3151,-0.4879,-2.9062,-0.9531,1.1225
-1.6350,-8.1766,0.2496,-2.6839,-7.5029,-1.7024,2.8900,0.4233,0.3544,-2.0423,5.8299,-0.4879,-0.1076,1.4069,-0.8018
-1.6350,-8.1766,-2.9954,-6.3565,-7.5029,-1.7024,1.5562,0.2256,0.0572,-0.6072,2.7574,-0.4879,2.6910,1.4069,-0.8018
-6.6364,-8.1766,-9.4853,-6.3565,-26.6906,1.9862,-2.4454,-0.1698,-0.8345,2.2630,-6.4601,0.4879,-5.7049,-0.9531,1.1225
0.8656,1.2719,0.2496,0.9888,2.0910,0.1419,1.5562,-0.1698,0.0572,-0.6072,-3.3876,0.4879,-2.9062,-0.9531,-0.8018
0.8656,1.2719,0.2496,0.9888,2.0910,0.1419,-1.1116,-0.1698,0.0572,0.8279,-3.3876,0.4879,-0.1076,0.2269,-0.8018
0.8656,1.2719,3.4946,0.9888,2.0910,0.1419,-1.1116,0.2256,0.0572,-0.6072,-0.3151,-0.0000,-0.1076,0.2269,-0.8018
-6.6364,-8.1766,-9.4853,-6.3565,-26.6906,1.9862,-2.4454,-0.1698,-0.8345,2.2630,-6.4601,0.4879,-5.7049,-0.9531,1.1225
0.8656,1.2719,-2.9954,0.9888,2.0910,0.1419,0.2223,-0.1698,0.0572,-0.6072,2.7574,-0.0000,2.6910,-0.9531,1.1225
0.8656,5.9962,3.4946,4.6614,11.6848,1.9862,-2.4454,-0.3675,0.3544,-2.0423,-6.4601,0.9758,-0.1076,-2.1331,0.1604
