Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10
-2.3039,-0.4648,0.8278,0.9256,-4.6219,-0.7892,-0.8308,-0.0854,1.3452,-2.0995,2.7720,-0.2155,0.2445,-0.3417,1.2626
-1.6925,-0.5177,-2.7874,0.0579,1.0995,1.7257,-0.2456,0.4119,0.6027,-1.5218,0.4112,1.0673,-0.4572,-0.2937,1.2543
-1.7151,-0.6793,0.6777,-0.8339,-13.7195,-0.5761,3.0826,-0.0932,-0.2568,5.2133,-2.2563,1.5766,0.8705,0.6714,-0.3819
-1.1974,-2.8103,-3.7469,-16.4592,-7.0223,-0.2397,1.2333,0.0000,0.4243,-1.5167,-2.6002,0.8169,0.5616,-1.4162,0.0510
-1.6336,-2.2557,-8.6957,-23.3538,-16.3933,-0.9933,-3.2917,0.0000,-11.1275,0.4237,-2.8761,-2.1235,-17.4149,0.0000,0.6821
0.1475,-0.7284,0.8710,1.3948,1.2965,0.4597,1.9178,0.5566,0.9065,-1.5553,1.3624,0.9447,0.2525,-0.0751,-0.1380
0.0414,-0.6643,0.8412,1.5535,1.3732,0.5950,-1.5626,0.0962,0.7830,-2.3919,1.2901,-0.1467,0.0000,-0.2545,-0.3440
0.0607,-0.7633,1.9340,1.8158,1.3595,0.5888,-1.8377,-0.0613,1.0495,-1.3626,0.7673,-0.4887,0.1723,-0.2148,-0.2252
-1.6521,-2.3282,-8.7283,-23.3266,-16.2643,-1.1036,-3.3106,0.1638,-11.0755,0.3976,-2.8452,-2.0256,-17.4274,-0.1196,0.5923
0.3064,-0.6588,-2.7710,1.4458,2.4688,0.3688,-0.4377,0.1066,1.3169,-2.0481,0.4698,-0.0988,0.1056,-0.2449,2.0008
-2.2454,3.1726,1.7617,2.9876,5.2812,0.1546,-2.7427,-0.5067,-0.5315,1.1126,-1.5223,1.0344,0.3616,-0.1001,-1.3287
5.2255,3.9891,2.0018,3.5316,1.8717,1.5412,-1.3948,-0.2472,0.1479,2.0892,0.8417,-1.8352,3.9221,0.6869,3.0092
0.0000,2.7359,0.8129,2.5924,5.0185,-0.7524,6.2061,-0.1001,-0.2888,-1.9662,1.1366,2.0138,0.4229,0.7208,0.0997
7.6489,3.0919,2.3994,4.1403,12.8179,-1.0439,10.1300,0.1410,-0.7736,5.0982,-0.2568,-1.0120,2.2199,0.3077,-0.6544
7.6063,3.0789,2.4892,4.1363,12.8136,-1.0795,10.0795,0.1394,-0.7668,5.0994,-0.1910,-0.9985,2.1727,0.3065,-0.6315
0.2901,-0.8405,0.6620,1.9047,2.4335,-0.7515,-0.0501,-0.1212,-0.2953,-1.3922,-0.0689,1.9578,0.1220,0.7301,0.2211
