Residual,Absolute_Error
3.8706,3.8706
7.0139,7.0139
0.2127,0.2127
-3.6247,3.6247
-11.8646,11.8646
15.6564,15.6564
17.3958,17.3958
-0.5957,0.5957
-11.8646,11.8646
9.0934,9.0934
0.0655,0.0655
9.2363,9.2363
-17.1239,17.1239
2.0973,2.0973
2.0973,2.0973
0.1535,0.1535
-1.9229,1.9229
14.4095,14.4095
-0.3727,0.3727
0.2127,0.2127
-38.0441,38.0441
2.1535,2.1535
-0.5957,0.5957
6.2466,6.2466
-17.6955,17.6955
8.4983,8.4983
-29.1268,29.1268
-0.5638,0.5638
0.1535,0.1535
-15.2340,15.2340
-4.9740,4.9740
-4.1080,4.1080
2.0973,2.0973
-12.2804,12.2804
-0.3727,0.3727
-5.5029,5.5029
-0.5957,0.5957
-8.1352,8.1352
8.9580,8.9580
-6.8465,6.8465
-36.4380,36.4380
7.2009,7.2009
16.0015,16.0015
-0.5957,0.5957
-0.4511,0.4511
-1.9085,1.9085
0.0228,0.0228
-1.0640,1.0640
10.8142,10.8142
29.3664,29.3664
19.4939,19.4939
7.2009,7.2009
-6.6345,6.6345
-0.2319,0.2319
6.2023,6.2023
5.2289,5.2289
3.1535,3.1535
-0.4511,0.4511
15.7633,15.7633
-8.3338,8.3338
-9.1335,9.1335
-0.2050,0.2050
0.2127,0.2127
0.0655,0.0655
17.4724,17.4724
6.0663,6.0663
-4.6474,4.6474
2.0973,2.0973
-0.2986,0.2986
-0.3727,0.3727
9.5489,9.5489
4.3487,4.3487
19.7151,19.7151
0.2127,0.2127
-10.8524,10.8524
-13.7600,13.7600
-12.0614,12.0614
2.0973,2.0973
