Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10
-1.4985,0.7099,0.9892,1.8562,-1.8083,-1.0483,-0.1577,0.2940,1.4739,-1.7915,1.9655,0.2138,-0.4129,-1.1849,0.1542
-4.2819,0.8954,-2.6677,-1.0467,1.0661,0.3495,0.3660,0.0549,4.3019,-1.5509,0.8415,-0.8869,0.6122,-1.0993,-0.6904
-2.3378,-1.7857,-0.1236,-3.8548,-3.3388,0.3183,0.2008,-0.3429,1.6916,4.4466,-1.8894,-0.4121,-0.3439,0.7244,-0.6829
-1.3169,-6.9923,-1.7212,-15.2692,-4.8597,0.4338,-1.0843,0.4122,0.2125,-0.6381,-2.1869,-0.4323,-1.1703,0.0000,-0.9167
-10.7966,-5.3251,-16.9396,-8.8125,-14.4785,-1.7845,-2.9367,-2.9031,-12.3294,-2.6653,-1.3937,-1.8812,-3.0534,-0.9168,-2.3137
0.7632,0.2066,0.7727,1.6281,1.0950,0.7106,2.6506,1.4612,1.0915,-0.1449,1.6262,0.4712,-1.5523,-0.9701,0.8723
0.5644,0.2605,0.8850,1.8652,0.6470,0.8236,-0.4546,1.1893,0.7767,-3.1294,1.1957,-0.7212,-1.0426,0.2173,0.4749
0.8769,0.2406,1.9479,2.1874,0.8053,0.8511,-1.6294,-2.4633,0.7718,-0.8304,1.1871,0.0000,-1.2166,0.0400,0.7016
-10.4656,-6.0021,-17.5986,-9.1208,-13.6765,-1.9093,-2.1105,-3.0836,-11.8983,-2.5010,-1.6922,-1.1337,-4.0775,-1.2574,-2.0029
1.7565,-0.2522,-5.8868,2.0438,0.7671,0.8102,0.3448,0.2115,0.8126,-1.0361,1.2055,-0.2147,-0.7530,-1.7131,-1.6422
1.4390,-1.0436,3.0995,2.9470,3.3332,1.2167,-3.8433,0.0362,0.5139,-0.2025,-0.5708,0.9545,-0.3189,-0.6579,-0.4326
8.9141,2.0147,3.5669,3.6259,1.4645,1.2928,0.7722,-0.2075,0.6426,-0.5898,-0.9049,1.4598,2.4706,2.8031,-0.9209
1.4153,2.5706,-0.2107,3.0315,0.9642,-1.5725,2.4091,-1.3346,0.9871,0.2884,-2.0596,0.3963,-0.6482,1.8928,-0.2565
9.4734,5.5007,5.3662,5.1531,4.6351,-2.7868,4.6976,1.0094,1.7139,3.8058,0.1698,0.3535,3.8844,3.1497,0.1442
9.4646,5.5333,5.2453,5.1401,4.5803,-2.7305,4.7044,1.0631,1.9276,3.5159,0.0513,0.6593,3.9902,3.0082,0.1170
0.5675,0.3924,-0.1036,2.1731,1.0740,-2.0250,0.8392,-1.5857,0.5237,0.2370,-0.7260,0.8168,1.1670,2.3153,-0.1958
0.6125,-0.2214,0.0973,1.7425,0.4293,-1.7837,0.0858,-2.6865,0.8460,-0.8049,0.9651,1.1733,-1.2878,-1.7177,-0.0842
5.0968,0.3040,4.3940,1.4334,0.7547,-4.6134,-2.3891,2.4079,0.5616,-0.9163,1.0945,-0.5533,-2.2739,-0.4132,0.3404
0.8693,0.8404,1.3049,-0.8797,1.4814,2.3369,-0.3175,1.2121,-3.9895,2.5060,-0.3437,-1.1275,0.7089,-1.3320,0.0000
-2.2506,-1.6911,-0.1085,-3.8525,-3.2649,0.2497,0.1612,-0.3232,1.7244,4.4015,-1.9381,-0.4672,-0.3938,0.6557,-0.6327
1.0211,-1.5239,1.3776,1.5633,1.5461,3.4688,0.1089,2.0351,-3.4618,-0.1238,-0.6702,-0.7694,0.7328,-1.5127,0.1697
0.5771,0.4107,-0.1197,2.1341,1.0539,-2.1041,0.8715,-1.6067,0.5550,0.2382,-0.6999,0.8418,1.2037,2.2874,-0.1730
0.8647,0.2561,1.9783,2.1934,0.8177,0.8110,-1.5968,-2.4777,0.7313,-0.8269,1.1746,0.0000,-1.1962,0.0571,0.6834
0.5923,0.3347,-6.0706,-2.0730,0.9786,-1.7818,-1.5345,1.1304,-4.8073,-1.4287,0.9427,-1.4107,-1.0436,0.0750,-0.3943
1.4046,2.6953,5.6657,2.9352,2.8325,2.0605,-2.0808,1.0855,-0.9296,1.8509,0.2983,-0.2875,-0.9907,-0.6729,-1.7332
-3.2788,-0.4910,-0.8596,-2.7423,-4.6307,1.8898,-0.1806,2.2859,0.8846,-0.6883,-2.1048,-0.1905,-0.3342,0.3542,0.3424
-5.3011,0.2055,0.4977,2.8957,0.4108,1.1203,-0.5606,0.1140,1.2370,0.6862,0.8841,-0.2056,0.5120,0.1528,2.2236
-4.9085,-0.4011,0.6132,1.7529,0.5938,-1.6552,-0.6167,1.1060,0.7055,-1.6510,0.1354,0.4042,-1.8371,-0.8405,0.9029
0.5377,0.3447,-0.0720,2.1485,1.0646,-2.0563,0.9063,-1.6331,0.5457,0.2326,-0.7608,0.8360,1.2287,2.3249,-0.1777
0.1208,-1.2879,-7.8346,1.0450,0.8670,0.0669,0.0966,0.4163,-2.2136,-3.8321,-0.8520,-1.4883,0.0000,-1.6533,0.6749
-2.0417,-0.8089,-7.7401,-2.7003,-2.2209,0.1666,1.5715,0.1923,1.4151,-2.4155,1.0634,-0.4596,-1.1799,0.4543,0.1742
-2.5582,-0.2538,-4.7123,1.4885,0.7049,0.7500,0.5430,-0.3152,0.8730,-0.7050,1.2458,0.6746,-0.8171,-1.2044,2.1818
9.3802,5.5047,5.3643,5.2275,4.6070,-2.7187,4.7081,1.0200,1.5859,3.6619,0.1434,0.5418,3.9327,2.9901,0.3211
1.6321,0.5267,0.5580,1.2766,-5.1313,0.6920,4.2014,1.7342,0.8963,-1.3741,1.1508,-0.0770,-0.9041,-0.9896,-1.7307
0.7728,0.7706,1.4123,-0.9631,1.5451,2.3133,-0.3045,1.2239,-4.0702,2.4854,-0.3688,-1.1465,0.7981,-1.2735,0.0752
0.7560,0.2474,1.1738,0.7517,0.8344,2.5130,0.1821,0.9638,0.8251,-0.8298,-0.8979,-1.1079,0.4197,-1.4453,0.0000
0.8617,0.2668,1.9316,2.2103,0.8127,0.8546,-1.6527,-2.4616,0.7528,-0.8135,1.1381,0.0000,-1.1861,0.0489,0.7065
-4.9108,-1.3589,-2.1273,-3.7150,-2.6975,-0.1781,0.6584,0.3132,-0.6837,-1.1615,0.9674,0.1080,0.4632,3.0582,0.4444
1.1632,0.1192,4.6245,1.5963,3.7298,0.6428,0.1106,-2.3373,1.0570,-0.4936,1.1746,-0.3368,-0.8593,-3.7195,-1.3730
0.5596,0.4219,-0.0584,2.1597,1.0662,-2.0506,0.8907,-1.6593,0.5574,0.1970,-0.7013,0.7929,1.1939,2.2765,-0.1765
-4.0777,-0.3850,1.0333,0.9984,5.5247,0.6507,-1.9099,0.5617,1.0317,0.6569,0.7896,2.3838,4.6170,-1.9549,-1.5441
2.3931,3.5663,5.8259,1.9641,4.5847,2.6304,-1.5113,1.6187,0.8579,2.8666,-0.3407,0.8461,1.9028,-0.7438,1.8096
