Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10
-1.2684,0.8517,1.4779,0.8751,-4.4956,-1.4400,-1.2605,-0.3896,1.8343,-3.3399,2.8622,0.4877,1.5078,0.0849,0.0487
0.2098,-0.4548,-2.2349,0.2689,1.4655,1.7188,-2.5340,0.6317,0.1353,-1.8673,0.1116,2.2727,-0.0563,-0.5748,0.3089
-0.5111,-1.0202,0.0000,-1.8918,-13.7115,-0.6054,4.7194,-1.7205,-0.8133,7.3184,-1.2365,2.1011,-0.5288,0.0000,0.0000
-0.2380,-6.1734,-1.6273,-18.8137,-7.8574,2.5389,2.5203,0.0000,0.7921,-1.1038,-3.2168,1.4952,-1.8768,-2.3192,0.7550
-7.5536,-3.8996,-4.9698,-22.7066,-17.0540,-5.6591,-2.4470,-1.6764,-10.1540,-0.1961,-3.8935,-1.1336,-9.2766,1.9744,-0.3235
0.2295,-1.1636,1.4591,1.0772,1.3403,1.0158,6.4725,1.0569,1.8893,-0.4531,0.8921,0.2831,3.1438,0.9153,-0.3321
0.0000,-1.2711,1.5172,1.3496,1.3429,1.1766,-1.2696,-0.1728,1.4658,-3.1692,0.8146,-0.4368,-1.0979,-0.1180,-0.6565
-0.4100,-0.6415,1.9107,1.6010,1.2474,0.7710,-1.1728,-0.2446,1.8942,-1.5852,0.8432,-0.5530,-0.8137,0.4263,-0.2794
-7.5141,-3.9713,-4.8726,-22.6956,-17.4491,-5.6661,-2.4903,-1.6457,-10.0755,-0.1333,-3.7202,-1.0343,-9.3306,1.8620,-0.2325
0.2435,-0.9067,-5.4048,0.1128,2.1367,1.0375,-2.2141,-1.7091,1.5042,-2.4928,-0.4035,-0.0676,-1.2344,-0.4117,0.6108
-2.5396,3.6707,1.0037,4.1726,5.5569,0.4671,-3.9829,1.4842,-2.2346,1.8078,-3.3930,0.0990,0.6510,0.6486,-1.1185
2.8072,4.9174,1.8033,6.1570,2.8809,2.9773,-2.1379,-0.3896,0.6659,3.8644,1.0581,-5.0863,2.9419,0.9602,-0.1990
0.2159,4.5700,0.8720,5.3531,5.6666,-1.6520,9.3838,-0.7159,-0.8518,-1.3289,0.1746,2.3254,-1.0521,0.3829,0.4374
6.1220,3.1449,1.5817,8.0062,12.1838,-2.8800,11.9331,-0.0763,-1.5072,5.9915,1.9442,-1.8668,1.3822,-2.5861,1.0125
6.0974,3.0392,1.5433,7.9504,12.3026,-2.9309,12.1098,-0.1081,-1.4867,5.9107,2.1073,-1.7937,1.3276,-2.6912,1.0082
0.2398,-0.5268,0.6241,1.4724,2.4968,-1.2350,1.0998,-0.7326,0.7796,-1.0456,-0.3032,2.9616,-1.8730,0.5582,0.9297
-0.0604,-0.4842,0.8827,1.5233,1.1818,-1.7232,-1.9497,-0.1392,0.7711,-1.6874,0.5156,2.8670,-0.6096,-0.0660,-2.2638
0.1141,4.1760,2.2238,2.5478,0.8081,-1.2734,-4.2014,3.0895,1.3462,-1.6951,0.0349,0.4853,-0.4419,-0.2291,-0.4553
0.3880,-0.1954,1.6765,-0.7403,1.4830,1.5725,-2.4565,0.7656,-0.4699,0.7437,0.2612,-2.0544,1.1764,-0.4168,1.0478
-0.4931,-0.9992,0.0000,-1.9025,-13.6422,-0.5587,4.7215,-1.7160,-0.8075,7.2770,-1.2916,2.1109,-0.5305,0.0000,-0.0680
0.1182,-1.0166,2.2593,2.1150,1.5771,1.7105,-2.4068,1.9902,-0.9909,-0.7792,0.1749,-1.8767,1.5864,-0.1821,0.6196
0.2647,-0.5013,0.6217,1.4633,2.4937,-1.2712,1.0884,-0.7388,0.7721,-1.0569,-0.3193,2.9759,-1.8824,0.5554,0.9804
-0.3985,-0.6407,1.8881,1.6218,1.2386,0.7656,-1.1594,-0.2486,1.9023,-1.6137,0.8446,-0.5568,-0.8104,0.4335,-0.2730
0.0000,-0.6650,-4.8838,-1.5110,0.9797,-1.2860,-5.7015,1.7664,-3.2570,-3.9966,0.9816,-0.8662,1.3613,-1.4188,-1.8895
-0.7048,6.0228,3.1124,4.0319,6.3951,2.0240,-8.2138,0.0488,-0.8503,0.3476,0.0913,-1.8298,2.5320,0.5077,-0.8225
-2.5564,-0.9212,-2.5470,-1.3780,-10.9189,-0.5370,2.4651,0.7670,1.5252,-1.5793,-3.8129,-0.2177,-1.3394,0.1210,1.3281
-1.5465,-0.2388,0.9492,1.8827,1.0003,-0.1367,-3.3950,1.0771,-1.0984,2.7328,0.0949,1.4858,-0.6749,-0.6829,1.2201
-2.6366,-1.2354,1.4555,1.2315,2.5181,-1.2743,-3.7548,-1.3676,0.5966,-1.9621,-0.4089,1.2784,-0.1498,-0.1618,0.2751
0.2400,-0.5209,0.5987,1.4506,2.5113,-1.2650,1.0983,-0.7387,0.8100,-1.0391,-0.2923,2.9651,-1.8651,0.5339,0.9588
-0.3635,-1.7034,-7.9984,0.1270,1.0286,0.9998,-2.6639,-0.7023,-1.9750,-2.5866,0.1024,-0.9562,0.7061,-0.1461,0.3032
0.0766,-0.5496,-8.0476,-1.1315,-4.9445,2.0462,1.0707,0.0000,2.4699,-2.7186,2.3434,-0.4219,-0.4717,-0.0539,-2.0931
-1.4686,-1.2576,-5.1222,1.2403,1.3629,1.8309,-3.6735,-3.5314,2.0378,-1.9024,-2.8078,0.2007,0.6088,-0.2804,-0.2571
6.0467,3.1568,1.5318,7.8575,12.1484,-2.9886,11.8990,0.0000,-1.5357,5.9935,2.1072,-1.7298,1.2799,-2.5217,1.1405
0.8454,3.2012,1.0527,0.8447,-10.7999,1.1178,7.6613,3.3494,1.7449,-2.0425,2.5611,-0.6090,6.2924,1.0722,2.1576
0.4150,-0.1824,1.6638,-0.6513,1.4474,1.6174,-2.4883,0.7927,-0.4677,0.6803,0.1970,-2.0948,1.1744,-0.3836,1.0617
0.2996,-0.7618,1.8516,2.7837,1.3454,1.6307,-3.7499,-0.4559,1.4304,0.3790,0.2815,-1.1906,1.4965,1.8445,-0.7086
-0.4107,-0.6583,1.8898,1.6138,1.2417,0.7792,-1.1525,-0.2461,1.8905,-1.5886,0.8560,-0.5538,-0.8225,0.4350,-0.2802
-3.5521,-0.8816,-3.4203,-1.3995,-4.7814,1.1439,1.0700,1.2151,0.3435,-1.3790,2.2676,3.5557,-0.2784,0.7030,-1.2026
-1.3273,-0.6206,1.0746,1.1467,5.0007,0.6551,-2.3241,-0.1708,1.8686,-2.1645,0.5942,-0.1564,-1.2031,0.1546,-0.1207
0.2898,-0.4975,0.5973,1.4422,2.4810,-1.2731,1.0940,-0.7115,0.7608,-1.0385,-0.2697,2.9277,-1.8575,0.5526,0.9481
0.1493,-1.2958,1.5977,3.6323,8.6707,1.1016,-8.1340,-1.3408,1.0830,-2.1036,-0.2391,6.9150,4.4522,0.2794,-4.2144
6.1285,4.6466,2.9580,6.3432,11.2559,1.7271,-7.7243,-0.5932,0.4854,3.0920,-1.7202,-0.9601,1.4879,0.6234,-1.3845
-1.3482,-0.9404,1.4519,1.6898,-4.3179,1.6661,-0.3762,1.6800,1.5276,-2.5601,2.7436,0.3173,-0.2129,0.1774,-0.8608
-0.4039,-0.6521,1.9170,1.6033,1.2497,0.7605,-1.1594,-0.2541,1.8957,-1.5932,0.8531,-0.5631,-0.8093,0.4394,-0.2902
-1.0628,-0.7089,1.6272,-0.8106,1.3700,1.4783,-3.2526,1.3384,0.5279,-2.4617,0.6619,0.9846,1.0067,1.1389,1.4330
-1.1285,-1.2519,1.0137,-2.4836,1.3832,-0.4832,3.7526,2.1755,1.5752,-4.2925,0.8664,1.1193,2.7335,-0.7866,-1.0662
0.0621,-1.4335,1.6606,-1.4998,1.5125,2.3274,-1.8604,0.9783,0.0000,-1.7624,0.5035,-1.9428,-1.1041,0.2054,-1.2971
0.3871,-0.2741,0.9665,1.7493,0.8908,-1.7468,-2.8410,0.1988,-1.3480,3.2258,0.3653,3.0654,2.4234,-0.1806,-2.3669
0.5685,-0.5013,-1.7053,-1.5731,-7.6776,-0.4826,1.0716,1.2199,1.0243,-0.8281,-2.9803,1.9746,-0.0682,1.4714,0.8389
-0.1959,-0.3831,0.3095,-2.1916,-7.3862,-0.5014,3.2533,0.0000,1.1379,-0.8809,-3.5397,-1.3690,-1.2568,1.0719,0.7004
0.1057,-1.0093,2.0725,1.3659,1.2906,1.7260,-2.8132,1.0937,-0.4568,-2.7872,0.4566,-0.9018,0.4930,1.1408,-1.1872
6.2767,4.7911,2.9383,6.3984,11.2104,1.6434,-7.7852,-0.6633,0.4556,2.9562,-1.6576,-0.9246,1.5569,0.6779,-1.5084
0.3457,-1.0419,1.6218,1.3938,1.2795,2.0292,-2.1696,0.3796,1.2941,-2.7156,0.8753,-0.1196,-1.4041,1.1788,-0.6344
-1.4484,-0.5938,0.7863,-4.0480,1.6976,-2.3439,-2.1568,-0.2033,0.5876,-2.6877,0.5005,-1.1625,0.2854,1.4101,-0.5421
