Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9
0.0000,0.0000,-4.5733,0.0000,-0.8027,-1.0433,1.0984,0.0000,0.0000
0.0000,0.0000,-4.5733,0.0000,-0.8027,-1.0433,1.0984,0.0000,0.0000
0.0000,0.0000,-5.4444,0.0000,-0.0117,-1.0433,1.1786,0.0000,0.0000
0.0000,0.0000,-4.5733,0.0000,-0.8027,-1.0433,1.0984,0.0000,0.0000
0.0000,0.0000,-2.7380,0.0000,-0.8027,-0.4591,-84.8271,0.0000,0.0000
0.0000,0.0000,8.9690,0.0000,-3.2235,-0.4069,0.6485,0.0000,0.0000
0.0000,0.0000,20.9950,0.0000,0.3225,2.1715,2.7766,0.0000,0.0000
0.0000,0.0000,8.9690,0.0000,-3.2235,-0.4069,0.6485,0.0000,0.0000
0.0000,0.0000,-2.7380,0.0000,-0.8027,-0.4591,-84.8271,0.0000,0.0000
0.0000,0.0000,-4.5733,0.0000,-0.8027,-1.0433,1.0984,0.0000,0.0000
0.0000,0.0000,20.9950,0.0000,0.3225,2.1715,2.7766,0.0000,0.0000
0.0000,0.0000,5.6614,0.0000,0.1470,-0.4069,-14.5617,0.0000,0.0000
0.0000,0.0000,-0.8882,0.0000,-0.0117,8.6595,-0.8365,0.0000,0.0000
0.0000,0.0000,20.9950,0.0000,0.3225,2.1715,2.7766,0.0000,0.0000
0.0000,0.0000,20.9950,0.0000,0.3225,2.1715,2.7766,0.0000,0.0000
0.0000,0.0000,-4.5733,0.0000,-0.8027,-1.0433,1.0984,0.0000,0.0000
0.0000,0.0000,-4.8640,0.0000,7.3992,-0.4591,1.5970,0.0000,0.0000
0.0000,0.0000,9.5391,0.0000,-10.1122,-0.2616,2.0078,0.0000,0.0000
0.0000,0.0000,-4.5733,0.0000,-0.8027,-1.0433,1.0984,0.0000,0.0000
0.0000,0.0000,-5.4444,0.0000,-0.0117,-1.0433,1.1786,0.0000,0.0000
0.0000,0.0000,-2.0156,0.0000,-0.8027,-1.0433,-1.4593,0.0000,0.0000
0.0000,0.0000,-4.5733,0.0000,-0.8027,-1.0433,1.0984,0.0000,0.0000
0.0000,0.0000,8.9690,0.0000,-3.2235,-0.4069,0.6485,0.0000,0.0000
0.0000,0.0000,-2.0156,0.0000,-0.8027,-1.0433,-1.4593,0.0000,0.0000
0.0000,0.0000,5.0494,0.0000,-3.2235,3.3777,0.7834,0.0000,0.0000
0.0000,0.0000,-4.5733,0.0000,-0.8027,-1.0433,1.0984,0.0000,0.0000
0.0000,0.0000,-2.0156,0.0000,-0.8027,-1.0433,-1.4593,0.0000,0.0000
0.0000,0.0000,-4.5733,0.0000,-0.8027,-1.0433,1.0984,0.0000,0.0000
0.0000,0.0000,-4.5733,0.0000,-0.8027,-1.0433,1.0984,0.0000,0.0000
0.0000,0.0000,-4.5733,0.0000,-0.8027,-1.0433,1.0984,0.0000,0.0000
0.0000,0.0000,-2.0156,0.0000,-0.8027,-1.0433,-1.4593,0.0000,0.0000
0.0000,0.0000,-4.5733,0.0000,-0.8027,-1.0433,1.0984,0.0000,0.0000
0.0000,0.0000,20.9950,0.0000,0.3225,2.1715,2.7766,0.0000,0.0000
0.0000,0.0000,22.2116,0.0000,0.3225,-0.2616,3.9932,0.0000,0.0000
