Residual,Absolute_Error
3.4689,3.4689
6.4918,6.4918
-8.0516,8.0516
-31.5311,31.5311
-13.1005,13.1005
9.8328,9.8328
1.6830,1.6830
1.9449,1.9449
-13.1005,13.1005
6.4689,6.4689
-14.3170,14.3170
24.0526,24.0526
26.9358,26.9358
25.6830,25.6830
25.6830,25.6830
9.4689,9.4689
-7.5352,7.5352
3.0634,3.0634
7.4689,7.4689
-8.0516,8.0516
-1.7451,1.7451
11.4689,11.4689
1.9449,1.9449
-0.2754,0.2754
-29.4767,29.4767
-23.5143,23.5143
-1.7222,1.7222
-1.5311,1.5311
9.4689,9.4689
-12.5539,12.5539
-7.8142,7.8142
3.9520,3.9520
25.6830,25.6830
-29.5640,29.5640
7.4689,7.4689
-8.0814,8.0814
1.9449,1.9449
-8.7083,8.7083
13.4742,13.4742
2.4689,2.4689
-14.8115,14.8115
7.6830,7.6830
22.4637,22.4637
1.9449,1.9449
-12.0034,12.0034
-12.4363,12.4363
0.4689,0.4689
-17.3170,17.3170
18.7396,18.7396
14.3402,14.3402
4.3998,4.3998
7.6830,7.6830
-1.5311,1.5311
-5.7657,5.7657
9.7784,9.7784
18.9316,18.9316
12.4689,12.4689
-12.0034,12.0034
19.3953,19.3953
12.4416,12.4416
-4.5311,4.5311
-22.2479,22.2479
-8.0516,8.0516
-14.3170,14.3170
18.6830,18.6830
-11.9109,11.9109
-6.5311,6.5311
25.6830,25.6830
-25.6178,25.6178
7.4689,7.4689
13.3602,13.3602
5.2549,5.2549
7.7759,7.7759
-8.0516,8.0516
-8.5311,8.5311
-3.2269,3.2269
-7.5311,7.5311
25.6830,25.6830
