Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9
-0.7648,-0.0000,-1.0479,-2.9961,0.6874,0.0480,0.2276,-0.0111,0.4609
3.2123,-0.0000,-1.0479,-2.9961,0.6874,0.0480,0.2276,-0.0111,0.4609
-0.7648,-0.0000,-1.0479,9.9871,-3.7806,0.0480,0.2276,-0.0111,-3.5338
-0.7648,-0.0000,-1.0479,-2.9961,0.6874,0.0480,0.2276,-0.0111,0.4609
-8.7191,-0.0000,-11.2654,-41.9459,9.6233,-3.6945,-26.3986,-0.8769,8.4504
3.2123,0.0000,4.0608,9.9871,0.6874,0.0480,0.2276,-0.4440,0.4609
3.2123,0.0000,4.0608,9.9871,-3.7806,1.9192,9.1030,0.4218,-3.5338
3.2123,0.0000,4.0608,-2.9961,0.6874,0.0480,0.2276,0.4218,-3.5338
-8.7191,-0.0000,-11.2654,-41.9459,9.6233,-3.6945,-26.3986,-0.8769,8.4504
-0.7648,-0.0000,-1.0479,-2.9961,0.6874,0.0480,0.2276,-0.0111,0.4609
3.2123,0.0000,4.0608,9.9871,-3.7806,1.9192,9.1030,0.4218,-3.5338
3.2123,0.0000,4.0608,9.9871,-3.7806,-1.8232,-8.6478,-0.4440,4.4556
-0.7648,-0.0000,-1.0479,-2.9961,-3.7806,1.9192,-8.6478,-0.0111,-3.5338
3.2123,0.0000,4.0608,9.9871,-3.7806,1.9192,9.1030,0.4218,-3.5338
3.2123,0.0000,4.0608,9.9871,-3.7806,1.9192,9.1030,0.4218,-3.5338
-0.7648,-0.0000,-1.0479,-2.9961,0.6874,0.0480,0.2276,-0.0111,0.4609
-0.7648,-0.0000,-1.0479,-2.9961,0.6874,-1.8232,9.1030,-0.0111,0.4609
-0.7648,0.0000,4.0608,9.9871,0.6874,0.0480,9.1030,0.4218,-3.5338
-0.7648,-0.0000,-1.0479,-2.9961,0.6874,0.0480,0.2276,-0.0111,0.4609
-0.7648,-0.0000,-1.0479,9.9871,-3.7806,0.0480,0.2276,-0.0111,-3.5338
-4.7419,-0.0000,-6.1567,-15.9794,5.1553,-1.8232,-8.6478,-0.4440,4.4556
-0.7648,-0.0000,-1.0479,-2.9961,0.6874,0.0480,0.2276,-0.0111,0.4609
3.2123,0.0000,4.0608,-2.9961,0.6874,0.0480,0.2276,0.4218,-3.5338
-4.7419,-0.0000,-1.0479,-2.9961,5.1553,0.0480,-8.6478,-0.8769,4.4556
3.2123,0.0000,4.0608,9.9871,0.6874,1.9192,0.2276,-0.0111,-3.5338
-0.7648,-0.0000,-1.0479,9.9871,0.6874,0.0480,0.2276,-0.0111,0.4609
-0.7648,-0.0000,-6.1567,-15.9794,5.1553,-1.8232,-8.6478,-0.4440,4.4556
-0.7648,-0.0000,-1.0479,-2.9961,0.6874,0.0480,0.2276,-0.0111,0.4609
-0.7648,-0.0000,-1.0479,-2.9961,0.6874,0.0480,0.2276,-0.0111,0.4609
-4.7419,-0.0000,-1.0479,-2.9961,0.6874,0.0480,0.2276,-0.0111,0.4609
-0.7648,-0.0000,-1.0479,-2.9961,5.1553,-1.8232,-8.6478,-0.4440,4.4556
