Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9
-0.8609,0.0093,-0.8840,-3.4258,1.0309,0.0572,0.2727,-0.0201,0.5993
3.6160,0.0093,-0.8840,-3.4258,1.0309,0.0572,0.2727,-0.0201,0.5993
-0.8609,0.0093,-0.8840,11.4194,-5.6699,0.0572,0.2727,-0.0201,-4.5947
-0.8609,0.0093,-0.8840,-3.4258,1.0309,0.0572,0.2727,-0.0201,0.5993
-9.8147,0.4918,-9.5027,-47.9613,14.4324,-4.4052,-31.6349,-1.5848,10.9873
3.6160,-0.2320,3.4254,11.4194,1.0309,0.0572,0.2727,-0.8024,0.5993
3.6160,-0.2320,3.4254,11.4194,-5.6699,2.2884,10.9086,0.7623,-4.5947
3.6160,-0.2320,3.4254,-3.4258,1.0309,0.0572,0.2727,0.7623,-4.5947
-9.8147,0.4918,-9.5027,-47.9613,14.4324,-4.4052,-31.6349,-1.5848,10.9873
-0.8609,0.0093,-0.8840,-3.4258,1.0309,0.0572,0.2727,-0.0201,0.5993
3.6160,-0.2320,3.4254,11.4194,-5.6699,2.2884,10.9086,0.7623,-4.5947
3.6160,-0.2320,3.4254,11.4194,-5.6699,-2.1740,-10.3631,-0.8024,5.7933
-0.8609,0.2505,-0.8840,-3.4258,-5.6699,2.2884,-10.3631,-0.0201,-4.5947
3.6160,-0.2320,3.4254,11.4194,-5.6699,2.2884,10.9086,0.7623,-4.5947
3.6160,-0.2320,3.4254,11.4194,-5.6699,2.2884,10.9086,0.7623,-4.5947
-0.8609,0.0093,-0.8840,-3.4258,1.0309,0.0572,0.2727,-0.0201,0.5993
-0.8609,0.0093,-0.8840,-3.4258,1.0309,-2.1740,10.9086,-0.0201,0.5993
-0.8609,-0.2320,3.4254,11.4194,1.0309,0.0572,10.9086,0.7623,-4.5947
-0.8609,0.0093,-0.8840,-3.4258,1.0309,0.0572,0.2727,-0.0201,0.5993
-0.8609,0.0093,-0.8840,11.4194,-5.6699,0.0572,0.2727,-0.0201,-4.5947
-5.3378,0.2505,-5.1933,-18.2710,7.7317,-2.1740,-10.3631,-0.8024,5.7933
-0.8609,0.0093,-0.8840,-3.4258,1.0309,0.0572,0.2727,-0.0201,0.5993
3.6160,-0.2320,3.4254,-3.4258,1.0309,0.0572,0.2727,0.7623,-4.5947
-5.3378,0.2505,-0.8840,-3.4258,7.7317,0.0572,-10.3631,-1.5848,5.7933
3.6160,-0.2320,3.4254,11.4194,1.0309,2.2884,0.2727,-0.0201,-4.5947
-0.8609,0.0093,-0.8840,11.4194,1.0309,0.0572,0.2727,-0.0201,0.5993
-0.8609,0.2505,-5.1933,-18.2710,7.7317,-2.1740,-10.3631,-0.8024,5.7933
-0.8609,0.0093,-0.8840,-3.4258,1.0309,0.0572,0.2727,-0.0201,0.5993
-0.8609,0.0093,-0.8840,-3.4258,1.0309,0.0572,0.2727,-0.0201,0.5993
-5.3378,0.0093,-0.8840,-3.4258,1.0309,0.0572,0.2727,-0.0201,0.5993
-0.8609,0.2505,-0.8840,-3.4258,7.7317,-2.1740,-10.3631,-0.8024,5.7933
3.6160,0.2505,-5.1933,-18.2710,14.4324,-2.1740,0.2727,-0.8024,0.5993
3.6160,-0.2320,3.4254,11.4194,-5.6699,2.2884,10.9086,0.7623,-4.5947
3.6160,-0.2320,3.4254,11.4194,-5.6699,-2.1740,10.9086,0.7623,5.7933
-0.8609,0.0093,-0.8840,-3.4258,1.0309,0.0572,0.2727,-0.0201,0.5993
-0.8609,0.0093,-0.8840,11.4194,1.0309,0.0572,0.2727,-0.8024,0.5993
3.6160,-0.2320,3.4254,-3.4258,1.0309,0.0572,0.2727,0.7623,-4.5947
