Residual,Absolute_Error
3.4304,3.4304
5.9187,5.9187
-6.4042,6.4042
-31.5696,31.5696
-8.6982,8.6982
8.8594,8.8594
1.2748,1.2748
3.3223,3.3223
-8.6982,8.6982
6.4304,6.4304
-14.7252,14.7252
26.3100,26.3100
31.6159,31.6159
25.2748,25.2748
25.2748,25.2748
9.4304,9.4304
-8.9853,8.9853
1.2738,1.2738
7.4304,7.4304
-6.4042,6.4042
-1.4140,1.4140
11.4304,11.4304
3.3223,3.3223
-1.0134,1.0134
-29.9786,29.9786
-25.4503,25.4503
-1.9257,1.9257
-1.5696,1.5696
9.4304,9.4304
-12.0579,12.0579
-9.1048,9.1048
0.3758,0.3758
25.2748,25.2748
-31.7363,31.7363
7.4304,7.4304
-9.6066,9.6066
3.3223,3.3223
-9.8570,9.8570
12.1609,12.1609
2.4304,2.4304
-13.8063,13.8063
6.4460,6.4460
23.6999,23.6999
3.3223,3.3223
-11.4715,11.4715
-12.3151,12.3151
0.4304,0.4304
-17.7252,17.7252
19.4820,19.4820
14.4180,14.4180
3.0158,3.0158
6.4460,6.4460
-1.5696,1.5696
-5.2773,5.2773
9.2685,9.2685
22.4765,22.4765
12.4304,12.4304
-11.4715,11.4715
22.0649,22.0649
13.7433,13.7433
-4.5696,4.5696
-21.3106,21.3106
-6.4042,6.4042
-14.7252,14.7252
18.2748,18.2748
-13.0363,13.0363
-6.5696,6.5696
25.2748,25.2748
-28.2945,28.2945
7.4304,7.4304
14.1319,14.1319
5.5860,5.5860
7.5513,7.5513
-6.4042,6.4042
-8.5696,8.5696
-2.4621,2.4621
-7.5696,7.5696
25.2748,25.2748
