Residual,Absolute_Error
8.7218,8.7218
14.3481,14.3481
2.4103,2.4103
-26.2782,26.2782
-15.4944,15.4944
7.0071,7.0071
-3.6315,3.6315
-3.8777,3.8777
-15.4944,15.4944
11.7218,11.7218
-19.6315,19.6315
29.2621,29.2621
34.6017,34.6017
20.3685,20.3685
20.3685,20.3685
14.7218,14.7218
-2.8776,2.8776
15.7351,15.7351
12.7218,12.7218
2.4103,2.4103
5.7820,5.7820
16.7218,16.7218
-3.8777,3.8777
24.3139,24.3139
-30.6083,30.6083
-19.6803,19.6803
8.2597,8.2597
3.7218,3.7218
14.7218,14.7218
-1.8724,1.8724
21.0743,21.0743
-2.2902,2.2902
20.3685,20.3685
-14.6255,14.6255
12.7218,12.7218
-8.4247,8.4247
-3.8777,3.8777
17.4788,17.4788
21.3707,21.3707
7.7218,7.7218
22.1357,22.1357
-4.1980,4.1980
29.6893,29.6893
-3.8777,3.8777
-4.7771,4.7771
-7.3098,7.3098
5.7218,5.7218
-22.6315,22.6315
36.8966,36.8966
48.5752,48.5752
8.8647,8.8647
-4.1980,4.1980
3.7218,3.7218
-13.7949,13.7949
24.5627,24.5627
35.6937,35.6937
17.7218,17.7218
-4.7771,4.7771
56.4748,56.4748
39.2444,39.2444
0.7218,0.7218
-6.9815,6.9815
2.4103,2.4103
-19.6315,19.6315
13.3685,13.3685
-15.9952,15.9952
-1.2782,1.2782
20.3685,20.3685
0.8337,0.8337
12.7218,12.7218
34.0853,34.0853
12.7820,12.7820
-0.6914,0.6914
2.4103,2.4103
-3.2782,3.2782
17.8750,17.8750
-2.2782,2.2782
20.3685,20.3685
