Residual,Absolute_Error
4.9694,4.9694
1.7245,1.7245
0.0000,0.0000
-30.0306,30.0306
0.0000,0.0000
9.1954,9.1954
-5.5978,5.5978
0.0000,0.0000
0.0000,0.0000
7.9694,7.9694
-21.5978,21.5978
33.4904,33.4904
10.8800,10.8800
18.4022,18.4022
18.4022,18.4022
10.9694,10.9694
-0.4504,0.4504
11.1000,11.1000
8.9694,8.9694
0.0000,0.0000
-5.0263,5.0263
12.9694,12.9694
0.0000,0.0000
2.8867,2.8867
-21.3530,21.3530
-25.0936,25.0936
-4.1075,4.1075
-0.0306,0.0306
10.9694,10.9694
-10.7911,10.7911
-2.0742,2.0742
-8.9744,8.9744
18.4022,18.4022
-22.4679,22.4679
8.9694,8.9694
-7.0809,7.0809
0.0000,0.0000
-5.5167,5.5167
15.4189,15.4189
3.9694,3.9694
-19.4477,19.4477
0.0000,0.0000
20.0411,20.0411
0.0000,0.0000
-2.6758,2.6758
-0.8887,0.8887
1.9694,1.9694
-24.5978,24.5978
5.4942,5.4942
9.4111,9.4111
18.6785,18.6785
0.0000,0.0000
-0.0306,0.0306
0.0000,0.0000
8.5476,8.5476
7.7633,7.7633
13.9694,13.9694
-2.6758,2.6758
11.4565,11.4565
-5.6000,5.6000
-3.0306,3.0306
0.0000,0.0000
0.0000,0.0000
-21.5978,21.5978
11.4022,11.4022
-19.6525,19.6525
-5.0306,5.0306
18.4022,18.4022
-5.7950,5.7950
8.9694,8.9694
6.4316,6.4316
1.9737,1.9737
9.4294,9.4294
0.0000,0.0000
-7.0306,7.0306
-3.9026,3.9026
-6.0306,6.0306
18.4022,18.4022
