Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9
-2.4231,-0.7290,-2.4159,-1.6027,1.1395,-0.6388,0.0210,2.7905,-0.4920
6.3969,0.2312,-2.3464,-0.7807,1.0375,0.2599,-0.1956,3.8670,-1.0803
-2.9921,-1.3771,-1.3877,1.0913,-2.7845,-1.4615,-1.1294,2.2582,-0.5678
-2.4231,-0.7290,-2.4159,-1.6027,1.1395,-0.6388,0.0210,2.7905,-0.4920
-7.5590,-6.3189,-9.1063,-16.2203,-8.4588,-7.8070,-16.4196,-8.3689,-9.0923
6.9177,3.2361,3.9587,1.9533,3.1606,0.3597,-1.0469,4.2130,-0.8845
4.9134,3.3157,5.4390,5.9652,-0.3924,5.9155,12.0424,-2.2945,3.5447
4.3023,-0.7309,4.1073,-1.3130,1.5221,-0.1618,-1.9917,-6.4074,3.3223
-7.5590,-6.3189,-9.1063,-16.2203,-8.4588,-7.8070,-16.4196,-8.3689,-9.0923
-2.4231,-0.7290,-2.4159,-1.6027,1.1395,-0.6388,0.0210,2.7905,-0.4920
4.9134,3.3157,5.4390,5.9652,-0.3924,5.9155,12.0424,-2.2945,3.5447
1.8423,0.3270,2.9663,-1.0205,-3.9546,-5.7029,-9.1736,2.9764,-2.7640
-2.3116,2.0331,-1.6628,-1.7668,1.4370,1.8330,-5.8501,2.3871,-0.3725
4.9134,3.3157,5.4390,5.9652,-0.3924,5.9155,12.0424,-2.2945,3.5447
4.9134,3.3157,5.4390,5.9652,-0.3924,5.9155,12.0424,-2.2945,3.5447
-2.4231,-0.7290,-2.4159,-1.6027,1.1395,-0.6388,0.0210,2.7905,-0.4920
-2.0141,-0.6418,-1.7990,-0.2001,1.3368,-0.5720,5.2546,2.6231,-0.4609
-1.2794,3.8051,4.1090,3.0536,1.5122,-1.6174,7.0875,-2.4834,3.1888
-2.4231,-0.7290,-2.4159,-1.6027,1.1395,-0.6388,0.0210,2.7905,-0.4920
-2.9921,-1.3771,-1.3877,1.0913,-2.7845,-1.4615,-1.1294,2.2582,-0.5678
-1.4404,0.1993,-2.6599,-5.6656,-1.9672,-0.9406,-8.9948,-2.5361,-4.1624
-2.4231,-0.7290,-2.4159,-1.6027,1.1395,-0.6388,0.0210,2.7905,-0.4920
4.3023,-0.7309,4.1073,-1.3130,1.5221,-0.1618,-1.9917,-6.4074,3.3223
-0.7268,-0.6765,-0.4377,-0.0639,-1.2104,-0.3433,-4.3139,-3.2140,1.4885
5.2844,0.2249,3.4414,3.6511,2.6990,3.2271,-2.6361,2.2659,3.4685
-1.6770,-0.8092,-1.2983,3.5107,1.9610,-0.9840,-0.3547,2.1682,0.1126
-1.4647,-1.6581,-3.5583,-5.0235,0.4035,-1.7214,-8.8894,-4.5846,-4.2556
-2.4231,-0.7290,-2.4159,-1.6027,1.1395,-0.6388,0.0210,2.7905,-0.4920
-2.4231,-0.7290,-2.4159,-1.6027,1.1395,-0.6388,0.0210,2.7905,-0.4920
-6.9613,-1.1132,-1.9447,-1.6714,1.2120,-1.0888,0.2154,1.6267,0.1743
-1.4959,-2.1615,-0.9394,0.9262,-0.7534,-2.7918,-7.1226,-0.4771,-0.5350
2.0381,-0.4893,-0.5829,-0.4004,3.6023,0.0946,1.0982,-2.6195,0.1808
4.9134,3.3157,5.4390,5.9652,-0.3924,5.9155,12.0424,-2.2945,3.5447
0.7439,-0.6360,1.4400,-0.9630,0.0212,-11.4841,4.6169,-3.2758,-6.9794
-2.4231,-0.7290,-2.4159,-1.6027,1.1395,-0.6388,0.0210,2.7905,-0.4920
-2.6891,-1.1802,-1.0379,4.3661,1.6139,-0.6763,-0.1855,-0.9231,-0.6343
4.3023,-0.7309,4.1073,-1.3130,1.5221,-0.1618,-1.9917,-6.4074,3.3223
-3.3309,-0.3426,-0.5942,0.0392,-3.0420,-0.3906,-5.7663,-0.5443,1.1937
-1.2692,-0.2091,-1.5861,-0.9708,0.9597,-0.3286,0.0978,2.3195,-0.1651
-2.4231,-0.7290,-2.4159,-1.6027,1.1395,-0.6388,0.0210,2.7905,-0.4920
-1.6107,3.1223,-0.8006,0.8620,1.6403,-0.4996,0.7554,1.4107,0.6411
6.8371,1.8536,5.5173,3.5195,0.1079,3.8046,4.3139,-0.8877,2.3836
-3.2496,-0.8798,-2.5182,-1.3155,1.5225,-0.6834,-0.1599,3.1035,2.0709
4.3023,-0.7309,4.1073,-1.3130,1.5221,-0.1618,-1.9917,-6.4074,3.3223
2.6636,-1.6275,1.2449,2.5156,-3.5112,4.4027,-3.3310,1.0829,-0.7910
0.4876,-1.4209,2.2450,3.4523,-2.0713,5.3694,-3.8915,-2.2743,-0.1902
-2.4231,-0.7290,-2.4159,-1.6027,1.1395,-0.6388,0.0210,2.7905,-0.4920
4.9134,3.3157,5.4390,5.9652,-0.3924,5.9155,12.0424,-2.2945,3.5447
2.4145,2.9665,-1.7143,0.4863,1.1696,-1.8763,-6.8434,-0.9905,0.9450
-2.1475,1.8417,-1.8134,0.5257,1.3680,-1.2309,0.6046,2.3766,-0.0797
4.9063,0.5839,3.2396,0.6392,2.9584,-0.2816,-1.8811,2.0851,-0.8551
6.8371,1.8536,5.5173,3.5195,0.1079,3.8046,4.3139,-0.8877,2.3836
-2.4231,-0.7290,-2.4159,-1.6027,1.1395,-0.6388,0.0210,2.7905,-0.4920
2.1768,-1.3830,-1.4553,0.5492,0.8597,-11.1755,-0.5914,2.0306,-1.3621
-1.6628,-0.3724,-1.2173,0.3545,1.0192,-2.3052,0.1812,-0.6063,-1.7417
-3.6814,-1.0791,-2.0351,-0.6105,-1.5386,-0.8378,-0.5582,2.9666,0.5754
-2.4231,-0.7290,-2.4159,-1.6027,1.1395,-0.6388,0.0210,2.7905,-0.4920
2.6636,-1.6275,1.2449,2.5156,-3.5112,4.4027,-3.3310,1.0829,-0.7910
-1.1494,-0.5431,4.4406,-0.6336,-0.8514,-1.0245,-0.9503,-0.7895,0.5350
-1.3702,-0.9934,-3.2436,-6.8248,0.4713,-0.0268,-6.2737,1.9773,-0.1110
-2.4231,-0.7290,-2.4159,-1.6027,1.1395,-0.6388,0.0210,2.7905,-0.4920
-3.2060,-3.2471,-4.1447,-4.5832,-1.9057,-1.6593,0.8348,-5.3295,-1.1099
-2.9921,-1.3771,-1.3877,1.0913,-2.7845,-1.4615,-1.1294,2.2582,-0.5678
4.9134,3.3157,5.4390,5.9652,-0.3924,5.9155,12.0424,-2.2945,3.5447
4.9134,3.3157,5.4390,5.9652,-0.3924,5.9155,12.0424,-2.2945,3.5447
2.9120,0.7384,-0.6761,1.0376,-3.8614,-1.4937,-11.1142,0.7031,-1.2875
-2.4231,-0.7290,-2.4159,-1.6027,1.1395,-0.6388,0.0210,2.7905,-0.4920
4.9134,3.3157,5.4390,5.9652,-0.3924,5.9155,12.0424,-2.2945,3.5447
-1.7023,0.5779,1.2839,0.2874,1.5494,-0.8930,-0.1997,1.2291,-2.6657
-2.4231,-0.7290,-2.4159,-1.6027,1.1395,-0.6388,0.0210,2.7905,-0.4920
-2.2820,-0.2045,5.0912,-0.4069,1.8764,-0.6293,-0.1629,2.5157,-0.4702
-1.4404,0.1993,-2.6599,-5.6656,-1.9672,-0.9406,-8.9948,-2.5361,-4.1624
2.1297,1.3210,-4.7202,3.2945,-1.1219,2.6771,-2.2308,-4.5857,0.3832
-2.9921,-1.3771,-1.3877,1.0913,-2.7845,-1.4615,-1.1294,2.2582,-0.5678
-2.4231,-0.7290,-2.4159,-1.6027,1.1395,-0.6388,0.0210,2.7905,-0.4920
-2.7300,-0.7828,-1.8627,0.0310,1.0411,-1.5848,0.1905,-1.4139,-1.2388
-2.4231,-0.7290,-2.4159,-1.6027,1.1395,-0.6388,0.0210,2.7905,-0.4920
4.9134,3.3157,5.4390,5.9652,-0.3924,5.9155,12.0424,-2.2945,3.5447
