Residual,Absolute_Error
4.6275,4.6275
3.7902,3.7902
-0.3571,0.3571
-30.3725,30.3725
0.2128,0.2128
5.9477,5.9477
-5.6597,5.6597
-0.0900,0.0900
0.2128,0.2128
7.6275,7.6275
-21.6597,21.6597
33.7822,33.7822
30.7969,30.7969
18.3403,18.3403
18.3403,18.3403
10.6275,10.6275
7.2001,7.2001
4.1356,4.1356
8.6275,8.6275
-0.3571,0.3571
-3.1733,3.1733
12.6275,12.6275
-0.0900,0.0900
3.4714,3.4714
-29.7298,29.7298
-17.0555,17.0555
-2.2124,2.2124
-0.3725,0.3725
10.6275,10.6275
-11.2090,11.2090
-4.1052,4.1052
-19.8447,19.8447
18.3403,18.3403
-16.4281,16.4281
8.6275,8.6275
-2.6557,2.6557
-0.0900,0.0900
-7.8805,7.8805
17.0601,17.0601
3.6275,3.6275
-27.3876,27.3876
0.1976,0.1976
21.3461,21.3461
-0.0900,0.0900
-3.1496,3.1496
-5.2923,5.2923
1.6275,1.6275
-24.6597,24.6597
3.5168,3.5168
11.9090,11.9090
17.6685,17.6685
0.1976,0.1976
-0.3725,0.3725
-0.5581,0.5581
10.9046,10.9046
14.5616,14.5616
13.6275,13.6275
-3.1496,3.1496
10.5336,10.5336
-5.5007,5.5007
-3.3725,3.3725
0.1424,0.1424
-0.3571,0.3571
-21.6597,21.6597
11.3403,11.3403
-13.8140,13.8140
-5.3725,5.3725
18.3403,18.3403
-11.4313,11.4313
8.6275,8.6275
9.9079,9.9079
3.8267,3.8267
6.9406,6.9406
-0.3571,0.3571
-7.3725,7.3725
-5.8439,5.8439
-6.3725,6.3725
18.3403,18.3403
